billing_product_id,attribute_name,attribute_value
BP00134,Circuit ID,CIR000134
BP00135,Asset ID,SAS00135
BP00135,Access Line ID,AL000135
BP00135,Circuit ID,CIR000135
BP00136,Asset ID,SAS00136
BP00136,Access Line ID,AL000136
BP00136,Circuit ID,CIR000136
BP00137,Asset ID,ORPHAN_AS00137
BP00137,Access Line ID,AL000137
BP00137,Circuit ID,CIR000137
BP00138,Asset ID,SAS00138
BP00138,Access Line ID,AL000138
BP00138,Circuit ID,CIR000138
BP00139,Asset ID,SAS00139
BP00139,Access Line ID,ALX000139
BP00139,Circuit ID,CIR000139
BP00140,Asset ID,SAS00140
BP00140,Access Line ID,AL000140
BP00140,Circuit ID,CIR000140
BP00141,Asset ID,SAS00141
BP00141,Access Line ID,ALX000141
BP00141,Circuit ID,CIR000141
BP00142,Asset ID,SAS00142
BP00142,Access Line ID,AL000142
BP00142,Circuit ID,CIR000142
BP00143,Asset ID,SAS00143
BP00143,Access Line ID,AL000143
BP00143,Circuit ID,CIR000143
BP00144,Asset ID,SAS00144
BP00144,Access Line ID,AL000144
BP00144,Circuit ID,CIR000144
BP00145,Asset ID,SAS00145
BP00145,Access Line ID,AL000145
BP00145,Circuit ID,CIR000145
BP00146,Asset ID,SAS00146
BP00146,Access Line ID,AL000146
BP00146,Circuit ID,CIR000146
BP00147,Asset ID,ORPHAN_AS00147
BP00147,Access Line ID,AL000147
BP00147,Circuit ID,CIR000147
BP00148,Asset ID,SAS00148
BP00148,Access Line ID,AL000148
BP00148,Circuit ID,CIR000148
BP00149,Asset ID,SAS00149
BP00149,Access Line ID,AL000149
BP00149,Circuit ID,CIR000149
BP00150,Asset ID,SAS00150
BP00150,Access Line ID,AL000150
BP00150,Circuit ID,CIR000150
BP00151,Asset ID,SAS00151
BP00151,Access Line ID,AL000151
BP00151,Circuit ID,CIR000151
BP00152,Asset ID,SAS00152
BP00152,Access Line ID,AL000152
BP00152,Circuit ID,CIR000152
BP00153,Asset ID,SAS00153
BP00153,Access Line ID,AL000153
BP00153,Circuit ID,CIR000153
BP00154,Asset ID,SAS00154
BP00154,Access Line ID,AL000154
BP00154,Circuit ID,CIR000154
BP00155,Asset ID,ORPHAN_AS00155
BP00155,Access Line ID,AL000155
BP00155,Circuit ID,CIR000155
BP00156,Asset ID,SAS00156
BP00156,Access Line ID,AL000156
BP00156,Circuit ID,CIR000156
BP00157,Asset ID,SAS00157
BP00157,Access Line ID,AL000157
BP00157,Circuit ID,CIR000157
BP00158,Asset ID,SAS00158
BP00158,Access Line ID,AL000158
BP00158,Circuit ID,CIR000158
BP00159,Asset ID,SAS00159
BP00159,Access Line ID,AL000159
BP00159,Circuit ID,CIR000159
BP00160,Asset ID,SAS00160
BP00160,Access Line ID,AL000160
BP00160,Circuit ID,CIR000160
BP00161,Asset ID,SAS00161
BP00161,Access Line ID,AL000161
BP00161,Circuit ID,CIR000161
BP00162,Asset ID,SAS00162
BP00162,Access Line ID,AL000162
BP00162,Circuit ID,CIR000162
BP00163,Asset ID,SAS00163
BP00163,Access Line ID,AL000163
BP00163,Circuit ID,CIR000163
BP00164,Asset ID,SAS00164
BP00164,Access Line ID,AL000164
BP00164,Circuit ID,CIR000164
BP00165,Asset ID,SAS00165
BP00165,Access Line ID,AL000165
BP00165,Circuit ID,CIR000165
BP00166,Asset ID,SAS00166
BP00166,Access Line ID,AL000166
BP00166,Circuit ID,CIR000166
BP00167,Asset ID,SAS00167
BP00167,Access Line ID,AL000167
BP00167,Circuit ID,CIR000167
BP00168,Asset ID,SAS00168
BP00168,Access Line ID,AL000168
BP00168,Circuit ID,CIR000168
BP00169,Asset ID,ORPHAN_AS00169
BP00169,Access Line ID,AL000169
BP00169,Circuit ID,CIR000169
BP00170,Asset ID,SAS00170
BP00170,Access Line ID,ALX000170
BP00170,Circuit ID,CIR000170
BP00171,Asset ID,SAS00171
BP00171,Access Line ID,AL000171
BP00171,Circuit ID,CIR000171
BP00172,Asset ID,SAS00172
BP00172,Access Line ID,AL000172
BP00172,Circuit ID,CIR000172
BP00173,Asset ID,SAS00173
BP00173,Access Line ID,AL000173
BP00173,Circuit ID,CIR000173
BP00174,Asset ID,SAS00174
BP00174,Access Line ID,AL000174
BP00174,Circuit ID,CIR000174
BP00175,Asset ID,ORPHAN_AS00175
BP00175,Access Line ID,AL000175
BP00175,Circuit ID,CIR000175
BP00176,Asset ID,SAS00176
BP00176,Access Line ID,AL000176
BP00176,Circuit ID,CIR000176
BP00177,Asset ID,SAS00177
BP00177,Access Line ID,AL000177
BP00177,Circuit ID,CIR000177
BP00178,Asset ID,SAS00178
BP00178,Access Line ID,AL000178
BP00178,Circuit ID,CIR000178
BP00179,Asset ID,SAS00179
BP00179,Access Line ID,AL000179
BP00179,Circuit ID,CIR000179
BP00180,Asset ID,SAS00180
BP00180,Access Line ID,AL000180
BP00180,Circuit ID,CIR000180
BP00181,Asset ID,SAS00181
BP00181,Access Line ID,ALX000181
BP00181,Circuit ID,CIR000181
BP00182,Asset ID,SAS00182
BP00182,Access Line ID,ALX000182
BP00182,Circuit ID,CIR000182
BP00183,Asset ID,SAS00183
BP00183,Access Line ID,AL000183
BP00183,Circuit ID,CIR000183
BP00184,Asset ID,SAS00184
BP00184,Access Line ID,AL000184
BP00184,Circuit ID,CIR000184
BP00185,Asset ID,SAS00185
BP00185,Access Line ID,AL000185
BP00185,Circuit ID,CIR000185
BP00186,Asset ID,SAS00186
BP00186,Access Line ID,ALX000186
BP00186,Circuit ID,CIR000186
BP00187,Asset ID,SAS00187
BP00187,Access Line ID,AL000187
BP00187,Circuit ID,CIR000187
BP00188,Asset ID,SAS00188
BP00188,Access Line ID,AL000188
BP00188,Circuit ID,CIR000188
BP00189,Asset ID,SAS00189
BP00189,Access Line ID,AL000189
BP00189,Circuit ID,CIR000189
BP00190,Asset ID,SAS00190
BP00190,Access Line ID,AL000190
BP00190,Circuit ID,CIR000190
BP00191,Asset ID,SAS00191
BP00191,Access Line ID,AL000191
BP00191,Circuit ID,CIR000191
BP00192,Asset ID,SAS00192
BP00192,Access Line ID,AL000192
BP00192,Circuit ID,CIR000192
BP00193,Asset ID,SAS00193
BP00193,Access Line ID,AL000193
BP00193,Circuit ID,CIR000193
BP00194,Asset ID,SAS00194
BP00194,Access Line ID,AL000194
BP00194,Circuit ID,CIR000194
BP00195,Asset ID,SAS00195
BP00195,Access Line ID,AL000195
BP00195,Circuit ID,CIR000195
BP00196,Asset ID,SAS00196
BP00196,Access Line ID,AL000196
BP00196,Circuit ID,CIR000196
BP00197,Asset ID,SAS00197
BP00197,Access Line ID,AL000197
BP00197,Circuit ID,CIR000197
BP00198,Asset ID,SAS00198
BP00198,Access Line ID,AL000198
BP00198,Circuit ID,CIR000198
BP00199,Asset ID,SAS00199
BP00199,Access Line ID,AL000199
BP00199,Circuit ID,CIR000199
BP00200,Asset ID,ORPHAN_AS00200
BP00200,Access Line ID,ALX000200
BP00200,Circuit ID,CIR000200
BP00201,Asset ID,SAS00201
BP00201,Access Line ID,AL000201
BP00201,Circuit ID,CIR000201
BP00202,Asset ID,SAS00202
BP00202,Access Line ID,AL000202
BP00202,Circuit ID,CIR000202
BP00203,Asset ID,SAS00203
BP00203,Access Line ID,ALX000203
BP00203,Circuit ID,CIR000203
BP00204,Asset ID,SAS00204
BP00204,Access Line ID,AL000204
BP00204,Circuit ID,CIR000204
BP00205,Asset ID,SAS00205
BP00205,Access Line ID,AL000205
BP00205,Circuit ID,CIR000205
BP00206,Asset ID,SAS00206
BP00206,Access Line ID,AL000206
BP00206,Circuit ID,CIR000206
BP00207,Asset ID,ORPHAN_AS00207
BP00207,Access Line ID,AL000207
BP00207,Circuit ID,CIR000207
BP00208,Asset ID,SAS00208
BP00208,Access Line ID,AL000208
BP00208,Circuit ID,CIR000208
BP00209,Asset ID,SAS00209
BP00209,Access Line ID,AL000209
BP00209,Circuit ID,CIR000209
BP00210,Asset ID,SAS00210
BP00210,Access Line ID,AL000210
BP00210,Circuit ID,CIR000210
BP00211,Asset ID,ORPHAN_AS00211
BP00211,Access Line ID,AL000211
BP00211,Circuit ID,CIR000211
BP00212,Asset ID,SAS00212
BP00212,Access Line ID,AL000212
BP00212,Circuit ID,CIR000212
BP00213,Asset ID,SAS00213
BP00213,Access Line ID,AL000213
BP00213,Circuit ID,CIR000213
BP00214,Asset ID,SAS00214
BP00214,Access Line ID,AL000214
BP00214,Circuit ID,CIR000214
BP00215,Asset ID,ORPHAN_AS00215
BP00215,Access Line ID,AL000215
BP00215,Circuit ID,CIR000215
BP00216,Asset ID,SAS00216
BP00216,Access Line ID,ALX000216
BP00216,Circuit ID,CIR000216
BP00217,Asset ID,SAS00217
BP00217,Access Line ID,AL000217
BP00217,Circuit ID,CIR000217
BP00218,Asset ID,ORPHAN_AS00218
BP00218,Access Line ID,AL000218
BP00218,Circuit ID,CIR000218
BP00219,Asset ID,SAS00219
BP00219,Access Line ID,AL000219
BP00219,Circuit ID,CIR000219
BP00220,Asset ID,ORPHAN_AS00220
BP00220,Access Line ID,AL000220
BP00220,Circuit ID,CIR000220
BP00221,Asset ID,SAS00221
BP00221,Access Line ID,AL000221
BP00221,Circuit ID,CIR000221
BP00222,Asset ID,SAS00222
BP00222,Access Line ID,AL000222
BP00222,Circuit ID,CIR000222
BP00223,Asset ID,SAS00223
BP00223,Access Line ID,ALX000223
BP00223,Circuit ID,CIR000223
BP00224,Asset ID,SAS00224
BP00224,Access Line ID,AL000224
BP00224,Circuit ID,CIR000224
BP00225,Asset ID,SAS00225
BP00225,Access Line ID,AL000225
BP00225,Circuit ID,CIR000225
BP00226,Asset ID,SAS00226
BP00226,Access Line ID,AL000226
BP00226,Circuit ID,CIR000226
BP00227,Asset ID,SAS00227
BP00227,Access Line ID,AL000227
BP00227,Circuit ID,CIR000227
BP00228,Asset ID,SAS00228
BP00228,Access Line ID,AL000228
BP00228,Circuit ID,CIR000228
BP00229,Asset ID,ORPHAN_AS00229
BP00229,Access Line ID,AL000229
BP00229,Circuit ID,CIR000229
BP00230,Asset ID,SAS00230
BP00230,Access Line ID,AL000230
BP00230,Circuit ID,CIR000230
BP00231,Asset ID,SAS00231
BP00231,Access Line ID,ALX000231
BP00231,Circuit ID,CIR000231
BP00232,Asset ID,SAS00232
BP00232,Access Line ID,AL000232
BP00232,Circuit ID,CIR000232
BP00233,Asset ID,SAS00233
BP00233,Access Line ID,AL000233
BP00233,Circuit ID,CIR000233
BP00234,Asset ID,SAS00234
BP00234,Access Line ID,AL000234
BP00234,Circuit ID,CIR000234
BP00235,Asset ID,SAS00235
BP00235,Access Line ID,AL000235
BP00235,Circuit ID,CIR000235
BP00236,Asset ID,SAS00236
BP00236,Access Line ID,AL000236
BP00236,Circuit ID,CIR000236
BP00237,Asset ID,SAS00237
BP00237,Access Line ID,AL000237
BP00237,Circuit ID,CIR000237
BP00238,Asset ID,SAS00238
BP00238,Access Line ID,AL000238
BP00238,Circuit ID,CIR000238
BP00239,Asset ID,SAS00239
BP00239,Access Line ID,AL000239
BP00239,Circuit ID,CIR000239
BP00240,Asset ID,SAS00240
BP00240,Access Line ID,AL000240
BP00240,Circuit ID,CIR000240
BP00241,Asset ID,SAS00241
BP00241,Access Line ID,AL000241
BP00241,Circuit ID,CIR000241
BP00242,Asset ID,SAS00242
BP00242,Access Line ID,AL000242
BP00242,Circuit ID,CIR000242
BP00243,Asset ID,SAS00243
BP00243,Access Line ID,AL000243
BP00243,Circuit ID,CIR000243
BP00244,Asset ID,SAS00244
BP00244,Access Line ID,AL000244
BP00244,Circuit ID,CIR000244
BP00245,Asset ID,SAS00245
BP00245,Access Line ID,AL000245
BP00245,Circuit ID,CIR000245
BP00246,Asset ID,SAS00246
BP00246,Access Line ID,AL000246
BP00246,Circuit ID,CIR000246
BP00247,Asset ID,SAS00247
BP00247,Access Line ID,AL000247
BP00247,Circuit ID,CIR000247
BP00248,Asset ID,SAS00248
BP00248,Access Line ID,AL000248
BP00248,Circuit ID,CIR000248
BP00249,Asset ID,SAS00249
BP00249,Access Line ID,AL000249
BP00249,Circuit ID,CIR000249
BP00250,Asset ID,SAS00250
BP00250,Access Line ID,AL000250
BP00250,Circuit ID,CIR000250
BP00251,Asset ID,SAS00251
BP00251,Access Line ID,AL000251
BP00251,Circuit ID,CIR000251
BP00252,Asset ID,SAS00252
BP00252,Access Line ID,AL000252
BP00252,Circuit ID,CIR000252
BP00253,Asset ID,SAS00253
BP00253,Access Line ID,ALX000253
BP00253,Circuit ID,CIR000253
BP00254,Asset ID,ORPHAN_AS00254
BP00254,Access Line ID,AL000254
BP00254,Circuit ID,CIR000254
BP00255,Asset ID,SAS00255
BP00255,Access Line ID,AL000255
BP00255,Circuit ID,CIR000255
BP00256,Asset ID,SAS00256
BP00256,Access Line ID,AL000256
BP00256,Circuit ID,CIR000256
BP00257,Asset ID,SAS00257
BP00257,Access Line ID,AL000257
BP00257,Circuit ID,CIR000257
BP00258,Asset ID,SAS00258
BP00258,Access Line ID,AL000258
BP00258,Circuit ID,CIR000258
BP00259,Asset ID,SAS00259
BP00259,Access Line ID,AL000259
BP00259,Circuit ID,CIR000259
BP00260,Asset ID,SAS00260
BP00260,Access Line ID,AL000260
BP00260,Circuit ID,CIR000260
BP00261,Asset ID,SAS00261
BP00261,Access Line ID,AL000261
BP00261,Circuit ID,CIR000261
BP00262,Asset ID,SAS00262
BP00262,Access Line ID,ALX000262
BP00262,Circuit ID,CIR000262
BP00263,Asset ID,SAS00263
BP00263,Access Line ID,AL000263
BP00263,Circuit ID,CIR000263
BP00264,Asset ID,SAS00264
BP00264,Access Line ID,ALX000264
BP00264,Circuit ID,CIR000264
BP00265,Asset ID,SAS00265
BP00265,Access Line ID,AL000265
BP00265,Circuit ID,CIR000265
