css_service_id,css_customer_id,standard_product_code,css_product_code,css_product_name,product_family,service_status,activation_date
CSSS00042,CSSC00856,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-02-08
SAS00043,CSSC00094,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-09-17
SAS00044,CSSC00718,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,2025-09-08
SAS00045,CSSC00730,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-11-26
CSSS00046,CSSC00819,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,2025-11-07
SAS00047,CSSC00076,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-11-25
SAS00048,CSSC00268,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-01-01
SAS00049,CSSC00859,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,2024-03-27
SAS00050,CSSC00152,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-06-14
SAS00051,CSSC00169,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Pending,2024-11-22
CSSS00052,CSSC00799,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-02-19
SAS00053,CSSC00086,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-06-16
SAS00054,CSSC00976,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-01-30
SAS00055,CSSC00992,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-12-24
SAS00056,CSSC00814,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-08-21
CSSS00057,CSSC00833,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-09-03
CSSS00058,CSSC00787,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-08-14
SAS00059,CSSC00322,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-06-09
CSSS00060,CSSC00051,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-05-18
SAS00061,CSSC00091,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-12-21
SAS00062,CSSC00126,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-07-05
SAS00063,CSSC00379,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-12-15
SAS00064,CSSC00043,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-08-20
SAS00065,CSSC00421,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-07-31
SAS00066,CSSC00018,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-12-12
SAS00067,CSSC00275,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,2025-03-13
SAS00068,CSSC00912,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-01-11
SAS00069,CSSC00986,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-08-28
SAS00070,CSSC00529,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-01-20
SAS00071,CSSC00275,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-10-17
SAS00072,CSSC00303,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-09-21
SAS00073,CSSC00249,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-09-25
SAS00074,CSSC00542,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-05-30
SAS00075,CSSC00842,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,2025-03-09
SAS00076,CSSC00383,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,2023-03-28
SAS00077,CSSC00739,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-01-18
SAS00078,CSSC00934,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-08-20
SAS00079,CSSC00287,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-12-22
SAS00080,CSSC00791,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-05-09
SAS00081,CSSC00183,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-10-02
SAS00082,CSSC00064,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-08-16
SAS00083,CSSC00874,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-03-18
SAS00084,CSSC00364,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-10-07
SAS00085,CSSC00746,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-07-29
SAS00086,CSSC00466,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-09-11
SAS00087,CSSC00204,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-02-10
SAS00088,CSSC00660,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-04-12
CSSS00089,CSSC00980,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-10-31
CSSS00090,CSSC00399,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Pending,2025-04-13
SAS00091,CSSC00538,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-01-14
CSSS00092,CSSC00831,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-04-29
SAS00093,CSSC00612,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-02-11
SAS00094,CSSC00510,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-09-03
CSSS00095,CSSC00939,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-03-13
CSSS00096,CSSC00355,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-09-29
SAS00097,CSSC00892,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-08-10
SAS00098,CSSC00237,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-02-24
SAS00099,CSSC00418,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,2023-11-19
CSSS00100,CSSC00518,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-07-17
SAS00101,CSSC00095,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-08-25
SAS00102,CSSC00964,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,2023-02-13
SAS00103,CSSC00505,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-04-05
CSSS00104,CSSC00765,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2023-02-06
SAS00105,CSSC00896,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-02-21
CSSS00106,CSSC00623,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,2023-02-25
SAS00107,CSSC00075,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-07-24
SAS00108,CSSC00261,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-05-30
CSSS00109,CSSC00586,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-09-20
CSSS00110,CSSC00925,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-12-10
CSSS00111,CSSC00987,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-01-11
SAS00112,CSSC00799,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-09-03
SAS00113,CSSC00755,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-04-05
SAS00114,CSSC00630,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-01-28
SAS00115,CSSC00621,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-05-13
SAS00116,CSSC00187,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-07-16
SAS00117,CSSC00170,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-05-11
SAS00118,CSSC00385,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-07-23
SAS00119,CSSC00149,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-02-25
SAS00120,CSSC00151,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-02-13
SAS00121,CSSC00584,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Pending,2024-02-03
SAS00122,CSSC00111,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,2024-04-01
SAS00123,CSSC00993,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-04-23
SAS00124,CSSC00572,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-08-30
CSSS00125,CSSC00914,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-03-18
SAS00126,CSSC00742,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-10-29
SAS00127,CSSC00371,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,2025-12-01
CSSS00128,CSSC00776,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2024-08-06
SAS00129,CSSC00984,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-10-19
SAS00130,CSSC00445,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-10-29
SAS00131,CSSC00558,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-06-28
SAS00132,CSSC00587,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-05-30
SAS00133,CSSC00576,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-10-26
SAS00134,CSSC00322,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Pending,2023-09-04
SAS00135,CSSC00274,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-09-28
CSSS00136,CSSC00921,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-12-03
SAS00137,CSSC00007,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-03-11
CSSS00138,CSSC00057,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Pending,2025-03-03
SAS00139,CSSC00685,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-02-22
CSSS00140,CSSC00541,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-06-14
SAS00141,CSSC00879,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-04-15
SAS00142,CSSC00535,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-06-26
SAS00143,CSSC00052,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-07-27
SAS00144,CSSC00452,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-11-29
CSSS00145,CSSC00907,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-04-23
CSSS00146,CSSC00353,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,2025-10-04
SAS00147,CSSC00945,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-11-26
SAS00148,CSSC00069,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-03-24
CSSS00149,CSSC00270,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-02-20
SAS00150,CSSC00136,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-12-17
CSSS00151,CSSC00411,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-06-12
SAS00152,CSSC00921,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-06-10
SAS00153,CSSC00116,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-11-17
SAS00154,CSSC00479,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-12-07
CSSS00155,CSSC00459,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-08-30
SAS00156,CSSC00744,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,2024-10-23
SAS00157,CSSC00302,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Pending,2023-07-13
SAS00158,CSSC00055,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-05-27
CSSS00159,CSSC00548,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-08-06
SAS00160,CSSC00526,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-01-29
SAS00161,CSSC00900,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2026-01-03
SAS00162,CSSC00199,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,2025-05-09
SAS00163,CSSC00753,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2025-06-15
SAS00164,CSSC00847,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,2024-05-12
SAS00165,CSSC00182,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Pending,2025-04-16
SAS00166,CSSC00769,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-10-06
SAS00167,CSSC00737,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-09-01
SAS00168,CSSC00413,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-04-09
SAS00169,CSSC00881,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-01-05
SAS00170,CSSC00675,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-12-16
SAS00171,CSSC00403,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-01-31
SAS00172,CSSC00459,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-04-09
SAS00173,CSSC00536,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,2023-05-29
SAS00174,CSSC00582,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-03-22
SAS00175,CSSC00699,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-08-14
SAS00176,CSSC00976,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,2023-03-19
SAS00177,CSSC00975,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-06-06
SAS00178,CSSC00709,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Pending,2023-09-24
SAS00179,CSSC00867,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-05-16
SAS00180,CSSC00463,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-03-15
SAS00181,CSSC00366,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-04-02
SAS00182,CSSC00553,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-02-23
SAS00183,CSSC00390,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Pending,2023-05-11
SAS00184,CSSC00473,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-02-26
SAS00185,CSSC00589,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-11-12
SAS00186,CSSC00529,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-03-20
SAS00187,CSSC00698,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-01-17
CSSS00188,CSSC00378,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-03-03
SAS00189,CSSC00774,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-11-10
SAS00190,CSSC00032,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-12-27
SAS00191,CSSC00384,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-12-08
CSSS00192,CSSC00201,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2024-08-25
CSSS00193,CSSC00975,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-07-05
SAS00194,CSSC00228,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-07-31
SAS00195,CSSC00082,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Ceased,2024-01-18
SAS00196,CSSC00955,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,2024-12-04
SAS00197,CSSC00176,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-03-31
SAS00198,CSSC00703,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-10-30
SAS00199,CSSC00379,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Pending,2025-09-29
SAS00200,CSSC00973,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-10-18
SAS00201,CSSC00295,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-02-02
SAS00202,CSSC00899,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-06-02
SAS00203,CSSC00493,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-02-12
SAS00204,CSSC00596,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2023-06-26
CSSS00205,CSSC00315,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-08-09
SAS00206,CSSC00110,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-03-15
SAS00207,CSSC00867,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-05-22
SAS00208,CSSC00017,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-11-03
SAS00209,CSSC00112,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-06-28
SAS00210,CSSC00468,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-09-07
CSSS00211,CSSC00575,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-09-27
CSSS00212,CSSC00370,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2025-12-14
SAS00213,CSSC00412,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-11-08
SAS00214,CSSC00795,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-10-26
SAS00215,CSSC00426,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-06-24
SAS00216,CSSC00142,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-11-21
SAS00217,CSSC00287,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-05-14
SAS00218,CSSC00325,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2024-08-12
SAS00219,CSSC00981,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-06-19
CSSS00220,CSSC00341,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,2023-01-13
