css_bill_id,css_customer_id,css_service_id,standard_product_code,css_product_code,css_product_name,product_family,billing_status,monthly_charge
CSSB00025,CSSC00124,SAS00025,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,39.69
CSSB00026,CSSC00946,SAS00026,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,142.56
CSSB00027,CSSC00645,SAS00027,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,143.53
CSSB00028,CSSC00674,SAS00028,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,68.2
CSSB00029,CSSC00422,SAS00029,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,232.56
CSSB00030,CSSC00285,CSSS00030,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,147.06
CSSB00031,CSSC00169,CSSS00031,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,62.67
CSSB00032,CSSC00843,SAS00032,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,66.5
CSSB00033,CSSC00136,SAS00033,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,49.21
CSSB00034,CSSC00121,SAS00034,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,222.2
CSSB00035,CSSC00307,SAS00035,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,54.9
CSSB00036,CSSC00388,CSSS00036,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,213.55
CSSB00037,CSSC00431,CSSS00037,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,114.29
CSSB00038,CSSC00446,SAS00038,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,183.58
CSSB00039,CSSC00906,SAS00039,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,54.52
CSSB00040,CSSC00609,SAS00040,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,159.74
CSSB00041,CSSC00814,SAS00041,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,203.21
CSSB00042,CSSC00856,CSSS00042,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,125.85
CSSB00043,CSSC00094,SAS00043,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,71.3
CSSB00044,CSSC00718,SAS00044,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,168.72
CSSB00045,CSSC00730,SAS00045,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,221.19
CSSB00046,CSSC00819,CSSS00046,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,144.13
CSSB00047,CSSC00076,SAS00047,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,39.7
CSSB00048,CSSC00268,SAS00048,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,131.8
CSSB00049,CSSC00859,SAS00049,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,38.74
CSSB00050,CSSC00152,SAS00050,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,92.67
CSSB00051,CSSC00169,SAS00051,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,195.59
CSSB00052,CSSC00799,CSSS00052,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,185.76
CSSB00053,CSSC00086,SAS00053,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,62.18
CSSB00054,CSSC00976,SAS00054,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,164.36
CSSB00055,CSSC00992,SAS00055,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,173.95
CSSB00056,CSSC00814,SAS00056,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,37.73
CSSB00057,CSSC00833,CSSS00057,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,139.16
CSSB00058,CSSC00787,CSSS00058,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,200.89
CSSB00059,CSSC00322,SAS00059,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,28.24
CSSB00060,CSSC00051,CSSS00060,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,165.71
CSSB00061,CSSC00091,SAS00061,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,105.63
CSSB00062,CSSC00126,SAS00062,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,247.83
CSSB00063,CSSC00379,SAS00063,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,105.08
CSSB00064,CSSC00043,SAS00064,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,66.24
CSSB00065,CSSC00421,SAS00065,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,200.47
CSSB00066,CSSC00018,SAS00066,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,32.97
CSSB00067,CSSC00275,SAS00067,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,140.63
CSSB00068,CSSC00912,SAS00068,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,188.12
CSSB00069,CSSC00986,SAS00069,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,233.97
CSSB00070,CSSC00529,SAS00070,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,32.89
CSSB00071,CSSC00275,SAS00071,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,161.63
CSSB00072,CSSC00303,SAS00072,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,54.79
CSSB00073,CSSC00249,SAS00073,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,186.25
CSSB00074,CSSC00542,SAS00074,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,220.64
CSSB00075,CSSC00842,SAS00075,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,237.5
CSSB00076,CSSC00383,SAS00076,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,200.97
CSSB00077,CSSC00739,SAS00077,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,240.54
CSSB00078,CSSC00934,SAS00078,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,113.4
CSSB00079,CSSC00287,SAS00079,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,230.99
CSSB00080,CSSC00791,SAS00080,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,134.23
CSSB00081,CSSC00183,SAS00081,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,210.97
CSSB00082,CSSC00064,SAS00082,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,31.35
CSSB00083,CSSC00874,SAS00083,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,195.49
CSSB00084,CSSC00364,SAS00084,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Suspended,46.35
CSSB00085,CSSC00746,SAS00085,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,183.02
CSSB00086,CSSC00466,SAS00086,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,158.7
CSSB00087,CSSC00204,SAS00087,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,49.25
CSSB00088,CSSC00660,SAS00088,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,185.82
CSSB00089,CSSC00980,CSSS00089,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,241.11
CSSB00090,CSSC00399,CSSS00090,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,185.11
CSSB00091,CSSC00538,SAS00091,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,24.16
CSSB00092,CSSC00831,CSSS00092,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,47.67
CSSB00093,CSSC00612,SAS00093,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,165.75
CSSB00094,CSSC00510,SAS00094,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,228.64
CSSB00095,CSSC00939,CSSS00095,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,159.46
CSSB00096,CSSC00355,CSSS00096,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,205.58
CSSB00097,CSSC00892,SAS00097,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,85.8
CSSB00098,CSSC00237,SAS00098,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,193.51
CSSB00099,CSSC00418,SAS00099,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Ceased,158.72
CSSB00100,CSSC00518,CSSS00100,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,115.04
CSSB00101,CSSC00095,SAS00101,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,142.38
CSSB00102,CSSC00964,SAS00102,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,96.3
CSSB00103,CSSC00505,SAS00103,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,40.27
CSSB00104,CSSC00765,CSSS00104,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,236.97
CSSB00105,CSSC00896,SAS00105,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,110.3
CSSB00106,CSSC00623,CSSS00106,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,176.9
CSSB00107,CSSC00075,SAS00107,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,196.08
CSSB00108,CSSC00261,SAS00108,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,60.55
CSSB00109,CSSC00586,CSSS00109,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,148.24
CSSB00110,CSSC00925,CSSS00110,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Suspended,85.37
CSSB00111,CSSC00987,CSSS00111,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,246.55
CSSB00112,CSSC00799,SAS00112,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,229.75
CSSB00113,CSSC00755,SAS00113,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,167.67
CSSB00114,CSSC00630,SAS00114,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,179.0
CSSB00115,CSSC00621,SAS00115,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,84.3
CSSB00116,CSSC00187,SAS00116,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,153.23
CSSB00117,CSSC00170,SAS00117,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,150.87
CSSB00118,CSSC00385,SAS00118,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,139.15
CSSB00119,CSSC00149,SAS00119,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,149.95
CSSB00120,CSSC00151,SAS00120,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,223.86
CSSB00121,CSSC00584,SAS00121,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,224.61
CSSB00122,CSSC00111,SAS00122,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,50.78
CSSB00123,CSSC00993,SAS00123,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,180.33
CSSB00124,CSSC00572,SAS00124,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,114.91
CSSB00125,CSSC00914,CSSS00125,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,236.78
CSSB00126,CSSC00742,SAS00126,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,157.76
CSSB00127,CSSC00371,SAS00127,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,226.12
CSSB00128,CSSC00776,CSSS00128,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,226.16
CSSB00129,CSSC00984,SAS00129,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,149.37
CSSB00130,CSSC00445,SAS00130,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,195.04
CSSB00131,CSSC00558,SAS00131,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,145.74
CSSB00132,CSSC00587,SAS00132,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,68.26
CSSB00133,CSSC00576,SAS00133,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,205.28
CSSB00134,CSSC00322,SAS00134,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,62.55
CSSB00135,CSSC00274,SAS00135,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Suspended,81.08
CSSB00136,CSSC00921,CSSS00136,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,69.91
CSSB00137,CSSC00007,SAS00137,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,108.31
CSSB00138,CSSC00057,CSSS00138,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,35.41
CSSB00139,CSSC00685,SAS00139,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,33.36
CSSB00140,CSSC00541,CSSS00140,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,158.72
CSSB00141,CSSC00879,SAS00141,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,218.19
CSSB00142,CSSC00535,SAS00142,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,163.46
CSSB00143,CSSC00052,SAS00143,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,225.81
CSSB00144,CSSC00452,SAS00144,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,236.76
CSSB00145,CSSC00907,CSSS00145,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,156.34
CSSB00146,CSSC00353,CSSS00146,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,209.63
CSSB00147,CSSC00945,SAS00147,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,234.34
CSSB00148,CSSC00069,SAS00148,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Ceased,174.51
CSSB00149,CSSC00270,CSSS00149,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,38.69
CSSB00150,CSSC00136,SAS00150,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,230.47
CSSB00151,CSSC00411,CSSS00151,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,65.54
CSSB00152,CSSC00921,SAS00152,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,18.11
CSSB00153,CSSC00116,SAS00153,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,91.72
CSSB00154,CSSC00479,SAS00154,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,62.17
CSSB00155,CSSC00459,CSSS00155,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,155.47
CSSB00156,CSSC00744,SAS00156,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,218.48
CSSB00157,CSSC00302,SAS00157,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,84.06
CSSB00158,CSSC00055,SAS00158,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,110.42
CSSB00159,CSSC00548,CSSS00159,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,133.92
CSSB00160,CSSC00526,SAS00160,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Suspended,166.26
CSSB00161,CSSC00900,SAS00161,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,41.74
CSSB00162,CSSC00199,SAS00162,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,144.7
CSSB00163,CSSC00753,SAS00163,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,116.84
CSSB00164,CSSC00847,SAS00164,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,214.75
CSSB00165,CSSC00182,SAS00165,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,71.11
CSSB00166,CSSC00769,SAS00166,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,154.56
CSSB00167,CSSC00737,SAS00167,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,180.43
CSSB00168,CSSC00413,SAS00168,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,205.36
CSSB00169,CSSC00881,SAS00169,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,51.32
CSSB00170,CSSC00675,SAS00170,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,54.94
CSSB00171,CSSC00403,SAS00171,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,143.07
CSSB00172,CSSC00459,SAS00172,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,187.94
CSSB00173,CSSC00536,SAS00173,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,50.19
CSSB00174,CSSC00582,SAS00174,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,141.95
CSSB00175,CSSC00699,SAS00175,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,219.39
CSSB00176,CSSC00976,SAS00176,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Suspended,203.23
CSSB00177,CSSC00975,SAS00177,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,156.79
CSSB00178,CSSC00709,SAS00178,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,158.5
CSSB00179,CSSC00867,SAS00179,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,83.79
CSSB00180,CSSC00463,SAS00180,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,120.41
CSSB00181,CSSC00366,SAS00181,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,128.8
CSSB00182,CSSC00553,SAS00182,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,122.87
CSSB00183,CSSC00390,SAS00183,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,171.98
CSSB00184,CSSC00473,SAS00184,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,216.83
CSSB00185,CSSC00589,SAS00185,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,48.04
CSSB00186,CSSC00529,SAS00186,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,141.46
CSSB00187,CSSC00698,SAS00187,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,201.84
CSSB00188,CSSC00378,CSSS00188,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,219.33
CSSB00189,CSSC00774,SAS00189,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,150.05
CSSB00190,CSSC00032,SAS00190,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,97.49
CSSB00191,CSSC00384,SAS00191,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,155.71
CSSB00192,CSSC00201,CSSS00192,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,75.22
CSSB00193,CSSC00975,CSSS00193,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,210.63
CSSB00194,CSSC00228,SAS00194,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,56.15
CSSB00195,CSSC00082,SAS00195,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,96.39
CSSB00196,CSSC00955,SAS00196,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,242.72
CSSB00197,CSSC00176,SAS00197,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,159.04
CSSB00198,CSSC00703,SAS00198,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,182.86
CSSB00199,CSSC00379,SAS00199,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,239.85
CSSB00200,CSSC00973,SAS00200,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,197.34
CSSB00201,CSSC00295,SAS00201,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,162.58
CSSB00202,CSSC00899,SAS00202,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Ceased,44.26
CSSB00203,CSSC00493,SAS00203,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,181.49
CSSB00204,CSSC00596,SAS00204,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Suspended,66.76
CSSB00205,CSSC00315,CSSS00205,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,94.04
