css_service_id,attribute_name,attribute_value
CSSS00058,Asset ID,SAS00058
CSSS00058,Access Line ID,AL000058
CSSS00058,Circuit ID,CIR000058
CSSS00058,Technology Type,Copper
SAS00059,Asset ID,SAS00059
SAS00059,Access Line ID,AL000059
SAS00059,Circuit ID,CIR000059
SAS00059,Technology Type,FTTP
CSSS00060,Asset ID,SAS00060
CSSS00060,Access Line ID,AL000060
CSSS00060,Circuit ID,CIR000060
CSSS00060,Technology Type,FTTP
SAS00061,Asset ID,SAS00061
SAS00061,Access Line ID,AL000061
SAS00061,Circuit ID,CIR000061
SAS00061,Technology Type,Copper
SAS00062,Asset ID,SAS00062
SAS00062,Access Line ID,AL000062
SAS00062,Circuit ID,CIR000062
SAS00062,Technology Type,Copper
SAS00063,Asset ID,SAS00063
SAS00063,Access Line ID,AL000063
SAS00063,Circuit ID,CIR000063
SAS00063,Technology Type,FTTC
SAS00064,Asset ID,SAS00064
SAS00064,Access Line ID,AL000064
SAS00064,Circuit ID,CIR000064
SAS00064,Technology Type,FTTP
SAS00065,Asset ID,SAS00065
SAS00065,Access Line ID,AL000065
SAS00065,Circuit ID,CIR000065
SAS00065,Technology Type,FTTP
SAS00066,Asset ID,SAS00066
SAS00066,Access Line ID,AL000066
SAS00066,Circuit ID,CIR000066
SAS00066,Technology Type,FTTC
SAS00067,Asset ID,SAS00067
SAS00067,Access Line ID,AL000067
SAS00067,Circuit ID,CIR000067
SAS00067,Technology Type,Copper
SAS00068,Asset ID,SAS00068
SAS00068,Access Line ID,AL000068
SAS00068,Circuit ID,CIR000068
SAS00068,Technology Type,FTTP
SAS00069,Asset ID,SAS00069
SAS00069,Access Line ID,AL000069
SAS00069,Circuit ID,CIR000069
SAS00069,Technology Type,FTTP
SAS00070,Asset ID,SAS00070
SAS00070,Access Line ID,AL000070
SAS00070,Circuit ID,CIR000070
SAS00070,Technology Type,FTTP
SAS00071,Asset ID,SAS00071
SAS00071,Access Line ID,AL000071
SAS00071,Circuit ID,CIR000071
SAS00071,Technology Type,FTTP
SAS00072,Asset ID,SAS00072
SAS00072,Access Line ID,AL000072
SAS00072,Circuit ID,CIR000072
SAS00072,Technology Type,FTTC
SAS00073,Asset ID,SAS00073
SAS00073,Access Line ID,AL000073
SAS00073,Circuit ID,CIR000073
SAS00073,Technology Type,FTTP
SAS00074,Asset ID,SAS00074
SAS00074,Access Line ID,AL000074
SAS00074,Circuit ID,CIR000074
SAS00074,Technology Type,Copper
SAS00075,Asset ID,SAS00075
SAS00075,Access Line ID,AL000075
SAS00075,Circuit ID,CIR000075
SAS00075,Technology Type,FTTP
SAS00076,Asset ID,SAS00076
SAS00076,Access Line ID,AL000076
SAS00076,Circuit ID,CIR000076
SAS00076,Technology Type,FTTC
SAS00077,Asset ID,SAS00077
SAS00077,Access Line ID,AL000077
SAS00077,Circuit ID,CIR000077
SAS00077,Technology Type,FTTC
SAS00078,Asset ID,SAS00078
SAS00078,Access Line ID,AL000078
SAS00078,Circuit ID,CIR000078
SAS00078,Technology Type,FTTC
SAS00079,Asset ID,SAS00079
SAS00079,Access Line ID,AL000079
SAS00079,Circuit ID,CIR000079
SAS00079,Technology Type,FTTC
SAS00080,Asset ID,SAS00080
SAS00080,Access Line ID,AL000080
SAS00080,Circuit ID,CIR000080
SAS00080,Technology Type,FTTP
SAS00081,Asset ID,SAS00081
SAS00081,Access Line ID,AL000081
SAS00081,Circuit ID,CIR000081
SAS00081,Technology Type,Copper
SAS00082,Asset ID,SAS00082
SAS00082,Access Line ID,AL000082
SAS00082,Circuit ID,CIR000082
SAS00082,Technology Type,FTTC
SAS00083,Asset ID,SAS00083
SAS00083,Access Line ID,AL000083
SAS00083,Circuit ID,CIR000083
SAS00083,Technology Type,Copper
SAS00084,Asset ID,SAS00084
SAS00084,Access Line ID,AL000084
SAS00084,Circuit ID,CIR000084
SAS00084,Technology Type,FTTP
SAS00085,Asset ID,SAS00085
SAS00085,Access Line ID,AL000085
SAS00085,Circuit ID,CIR000085
SAS00085,Technology Type,FTTP
SAS00086,Asset ID,SAS00086
SAS00086,Access Line ID,AL000086
SAS00086,Circuit ID,CIR000086
SAS00086,Technology Type,Copper
SAS00087,Asset ID,SAS00087
SAS00087,Access Line ID,AL000087
SAS00087,Circuit ID,CIR000087
SAS00087,Technology Type,FTTP
SAS00088,Asset ID,SAS00088
SAS00088,Access Line ID,AL000088
SAS00088,Circuit ID,CIR000088
SAS00088,Technology Type,Copper
CSSS00089,Asset ID,SAS00089
CSSS00089,Access Line ID,AL000089
CSSS00089,Circuit ID,CIR000089
CSSS00089,Technology Type,Copper
CSSS00090,Asset ID,SAS00090
CSSS00090,Access Line ID,AL000090
CSSS00090,Circuit ID,CIR000090
CSSS00090,Technology Type,FTTC
SAS00091,Asset ID,SAS00091
SAS00091,Access Line ID,AL000091
SAS00091,Circuit ID,CIR000091
SAS00091,Technology Type,FTTC
CSSS00092,Asset ID,SAS00092
CSSS00092,Access Line ID,AL000092
CSSS00092,Circuit ID,CIR000092
CSSS00092,Technology Type,Copper
SAS00093,Asset ID,SAS00093
SAS00093,Access Line ID,AL000093
SAS00093,Circuit ID,CIR000093
SAS00093,Technology Type,FTTP
SAS00094,Asset ID,SAS00094
SAS00094,Access Line ID,AL000094
SAS00094,Circuit ID,CIR000094
SAS00094,Technology Type,Copper
CSSS00095,Asset ID,SAS00095
CSSS00095,Access Line ID,AL000095
CSSS00095,Circuit ID,CIR000095
CSSS00095,Technology Type,FTTP
CSSS00096,Asset ID,SAS00096
CSSS00096,Access Line ID,AL000096
CSSS00096,Circuit ID,CIR000096
CSSS00096,Technology Type,Copper
SAS00097,Asset ID,SAS00097
SAS00097,Access Line ID,AL000097
SAS00097,Circuit ID,CIR000097
SAS00097,Technology Type,FTTC
SAS00098,Asset ID,SAS00098
SAS00098,Access Line ID,AL000098
SAS00098,Circuit ID,CIR000098
SAS00098,Technology Type,FTTP
SAS00099,Asset ID,SAS00099
SAS00099,Access Line ID,AL000099
SAS00099,Circuit ID,CIR000099
SAS00099,Technology Type,FTTC
CSSS00100,Asset ID,SAS00100
CSSS00100,Access Line ID,AL000100
CSSS00100,Circuit ID,CIR000100
CSSS00100,Technology Type,FTTP
SAS00101,Asset ID,SAS00101
SAS00101,Access Line ID,AL000101
SAS00101,Circuit ID,CIR000101
SAS00101,Technology Type,FTTC
SAS00102,Asset ID,SAS00102
SAS00102,Access Line ID,AL000102
SAS00102,Circuit ID,CIR000102
SAS00102,Technology Type,Copper
SAS00103,Asset ID,SAS00103
SAS00103,Access Line ID,AL000103
SAS00103,Circuit ID,CIR000103
SAS00103,Technology Type,FTTC
CSSS00104,Asset ID,SAS00104
CSSS00104,Access Line ID,AL000104
CSSS00104,Circuit ID,CIR000104
CSSS00104,Technology Type,FTTP
SAS00105,Asset ID,SAS00105
SAS00105,Access Line ID,AL000105
SAS00105,Circuit ID,CIR000105
SAS00105,Technology Type,Copper
CSSS00106,Asset ID,SAS00106
CSSS00106,Access Line ID,AL000106
CSSS00106,Circuit ID,CIR000106
CSSS00106,Technology Type,FTTC
SAS00107,Asset ID,SAS00107
SAS00107,Access Line ID,AL000107
SAS00107,Circuit ID,CIR000107
SAS00107,Technology Type,Copper
SAS00108,Asset ID,SAS00108
SAS00108,Access Line ID,AL000108
SAS00108,Circuit ID,CIR000108
SAS00108,Technology Type,FTTC
CSSS00109,Asset ID,SAS00109
CSSS00109,Access Line ID,AL000109
CSSS00109,Circuit ID,CIR000109
CSSS00109,Technology Type,FTTP
CSSS00110,Asset ID,SAS00110
CSSS00110,Access Line ID,AL000110
CSSS00110,Circuit ID,CIR000110
CSSS00110,Technology Type,FTTP
CSSS00111,Asset ID,SAS00111
CSSS00111,Access Line ID,AL000111
CSSS00111,Circuit ID,CIR000111
CSSS00111,Technology Type,Copper
SAS00112,Asset ID,SAS00112
SAS00112,Access Line ID,AL000112
SAS00112,Circuit ID,CIR000112
SAS00112,Technology Type,FTTC
SAS00113,Asset ID,SAS00113
SAS00113,Access Line ID,AL000113
SAS00113,Circuit ID,CIR000113
SAS00113,Technology Type,Copper
SAS00114,Asset ID,SAS00114
SAS00114,Access Line ID,AL000114
SAS00114,Circuit ID,CIR000114
SAS00114,Technology Type,FTTC
SAS00115,Asset ID,SAS00115
SAS00115,Access Line ID,AL000115
SAS00115,Circuit ID,CIR000115
SAS00115,Technology Type,FTTP
SAS00116,Asset ID,SAS00116
SAS00116,Access Line ID,AL000116
SAS00116,Circuit ID,CIR000116
SAS00116,Technology Type,Copper
SAS00117,Asset ID,SAS00117
SAS00117,Access Line ID,AL000117
SAS00117,Circuit ID,CIR000117
SAS00117,Technology Type,FTTP
SAS00118,Asset ID,SAS00118
SAS00118,Access Line ID,AL000118
SAS00118,Circuit ID,CIR000118
SAS00118,Technology Type,FTTP
SAS00119,Asset ID,SAS00119
SAS00119,Access Line ID,AL000119
SAS00119,Circuit ID,CIR000119
SAS00119,Technology Type,Copper
SAS00120,Asset ID,SAS00120
SAS00120,Access Line ID,AL000120
SAS00120,Circuit ID,CIR000120
SAS00120,Technology Type,FTTP
SAS00121,Asset ID,SAS00121
SAS00121,Access Line ID,AL000121
SAS00121,Circuit ID,CIR000121
SAS00121,Technology Type,FTTP
SAS00122,Asset ID,SAS00122
SAS00122,Access Line ID,AL000122
SAS00122,Circuit ID,CIR000122
SAS00122,Technology Type,FTTC
SAS00123,Asset ID,SAS00123
SAS00123,Access Line ID,AL000123
SAS00123,Circuit ID,CIR000123
SAS00123,Technology Type,FTTC
SAS00124,Asset ID,SAS00124
SAS00124,Access Line ID,AL000124
SAS00124,Circuit ID,CIR000124
SAS00124,Technology Type,Copper
CSSS00125,Asset ID,SAS00125
CSSS00125,Access Line ID,AL000125
CSSS00125,Circuit ID,CIR000125
CSSS00125,Technology Type,Copper
SAS00126,Asset ID,SAS00126
SAS00126,Access Line ID,AL000126
SAS00126,Circuit ID,CIR000126
SAS00126,Technology Type,Copper
SAS00127,Asset ID,SAS00127
SAS00127,Access Line ID,AL000127
SAS00127,Circuit ID,CIR000127
SAS00127,Technology Type,FTTP
CSSS00128,Asset ID,SAS00128
CSSS00128,Access Line ID,AL000128
CSSS00128,Circuit ID,CIR000128
CSSS00128,Technology Type,FTTP
SAS00129,Asset ID,SAS00129
SAS00129,Access Line ID,AL000129
SAS00129,Circuit ID,CIR000129
SAS00129,Technology Type,Copper
SAS00130,Asset ID,SAS00130
SAS00130,Access Line ID,AL000130
SAS00130,Circuit ID,CIR000130
SAS00130,Technology Type,Copper
SAS00131,Asset ID,SAS00131
SAS00131,Access Line ID,AL000131
SAS00131,Circuit ID,CIR000131
SAS00131,Technology Type,Copper
SAS00132,Asset ID,SAS00132
SAS00132,Access Line ID,AL000132
SAS00132,Circuit ID,CIR000132
SAS00132,Technology Type,FTTP
SAS00133,Asset ID,SAS00133
SAS00133,Access Line ID,AL000133
SAS00133,Circuit ID,CIR000133
SAS00133,Technology Type,FTTP
SAS00134,Asset ID,SAS00134
SAS00134,Access Line ID,AL000134
SAS00134,Circuit ID,CIR000134
SAS00134,Technology Type,Copper
SAS00135,Asset ID,SAS00135
SAS00135,Access Line ID,AL000135
SAS00135,Circuit ID,CIR000135
SAS00135,Technology Type,FTTP
CSSS00136,Asset ID,SAS00136
CSSS00136,Access Line ID,AL000136
CSSS00136,Circuit ID,CIR000136
CSSS00136,Technology Type,FTTC
SAS00137,Asset ID,SAS00137
SAS00137,Access Line ID,AL000137
SAS00137,Circuit ID,CIR000137
SAS00137,Technology Type,Copper
CSSS00138,Asset ID,SAS00138
CSSS00138,Access Line ID,AL000138
CSSS00138,Circuit ID,CIR000138
CSSS00138,Technology Type,FTTC
SAS00139,Asset ID,SAS00139
SAS00139,Access Line ID,AL000139
SAS00139,Circuit ID,CIR000139
SAS00139,Technology Type,Copper
CSSS00140,Asset ID,SAS00140
CSSS00140,Access Line ID,AL000140
CSSS00140,Circuit ID,CIR000140
CSSS00140,Technology Type,FTTP
SAS00141,Asset ID,SAS00141
SAS00141,Access Line ID,AL000141
SAS00141,Circuit ID,CIR000141
SAS00141,Technology Type,FTTP
SAS00142,Asset ID,SAS00142
SAS00142,Access Line ID,AL000142
SAS00142,Circuit ID,CIR000142
SAS00142,Technology Type,Copper
SAS00143,Asset ID,SAS00143
SAS00143,Access Line ID,AL000143
SAS00143,Circuit ID,CIR000143
SAS00143,Technology Type,FTTC
SAS00144,Asset ID,SAS00144
SAS00144,Access Line ID,AL000144
SAS00144,Circuit ID,CIR000144
SAS00144,Technology Type,Copper
CSSS00145,Asset ID,SAS00145
CSSS00145,Access Line ID,AL000145
CSSS00145,Circuit ID,CIR000145
CSSS00145,Technology Type,Copper
CSSS00146,Asset ID,SAS00146
CSSS00146,Access Line ID,AL000146
CSSS00146,Circuit ID,CIR000146
CSSS00146,Technology Type,Copper
SAS00147,Asset ID,SAS00147
SAS00147,Access Line ID,AL000147
SAS00147,Circuit ID,CIR000147
SAS00147,Technology Type,Copper
SAS00148,Asset ID,SAS00148
SAS00148,Access Line ID,AL000148
SAS00148,Circuit ID,CIR000148
SAS00148,Technology Type,FTTC
CSSS00149,Asset ID,SAS00149
CSSS00149,Access Line ID,AL000149
CSSS00149,Circuit ID,CIR000149
CSSS00149,Technology Type,Copper
SAS00150,Asset ID,SAS00150
SAS00150,Access Line ID,AL000150
SAS00150,Circuit ID,CIR000150
SAS00150,Technology Type,FTTC
CSSS00151,Asset ID,SAS00151
CSSS00151,Access Line ID,AL000151
CSSS00151,Circuit ID,CIR000151
CSSS00151,Technology Type,FTTC
SAS00152,Asset ID,SAS00152
SAS00152,Access Line ID,AL000152
SAS00152,Circuit ID,CIR000152
SAS00152,Technology Type,FTTC
SAS00153,Asset ID,SAS00153
SAS00153,Access Line ID,AL000153
SAS00153,Circuit ID,CIR000153
SAS00153,Technology Type,Copper
SAS00154,Asset ID,SAS00154
SAS00154,Access Line ID,AL000154
SAS00154,Circuit ID,CIR000154
SAS00154,Technology Type,FTTC
CSSS00155,Asset ID,SAS00155
CSSS00155,Access Line ID,AL000155
CSSS00155,Circuit ID,CIR000155
CSSS00155,Technology Type,Copper
SAS00156,Asset ID,SAS00156
SAS00156,Access Line ID,AL000156
SAS00156,Circuit ID,CIR000156
SAS00156,Technology Type,FTTC
SAS00157,Asset ID,SAS00157
SAS00157,Access Line ID,AL000157
SAS00157,Circuit ID,CIR000157
SAS00157,Technology Type,FTTP
SAS00158,Asset ID,SAS00158
SAS00158,Access Line ID,AL000158
SAS00158,Circuit ID,CIR000158
SAS00158,Technology Type,FTTC
CSSS00159,Asset ID,SAS00159
CSSS00159,Access Line ID,AL000159
CSSS00159,Circuit ID,CIR000159
CSSS00159,Technology Type,Copper
SAS00160,Asset ID,SAS00160
SAS00160,Access Line ID,AL000160
SAS00160,Circuit ID,CIR000160
SAS00160,Technology Type,FTTP
SAS00161,Asset ID,SAS00161
SAS00161,Access Line ID,AL000161
SAS00161,Circuit ID,CIR000161
SAS00161,Technology Type,FTTP
SAS00162,Asset ID,SAS00162
SAS00162,Access Line ID,AL000162
SAS00162,Circuit ID,CIR000162
SAS00162,Technology Type,FTTP
SAS00163,Asset ID,SAS00163
SAS00163,Access Line ID,AL000163
SAS00163,Circuit ID,CIR000163
SAS00163,Technology Type,FTTP
SAS00164,Asset ID,SAS00164
SAS00164,Access Line ID,AL000164
SAS00164,Circuit ID,CIR000164
SAS00164,Technology Type,Copper
SAS00165,Asset ID,SAS00165
SAS00165,Access Line ID,AL000165
SAS00165,Circuit ID,CIR000165
SAS00165,Technology Type,FTTC
SAS00166,Asset ID,SAS00166
SAS00166,Access Line ID,AL000166
SAS00166,Circuit ID,CIR000166
SAS00166,Technology Type,Copper
SAS00167,Asset ID,SAS00167
SAS00167,Access Line ID,AL000167
SAS00167,Circuit ID,CIR000167
SAS00167,Technology Type,FTTP
SAS00168,Asset ID,SAS00168
SAS00168,Access Line ID,AL000168
SAS00168,Circuit ID,CIR000168
SAS00168,Technology Type,FTTP
SAS00169,Asset ID,SAS00169
SAS00169,Access Line ID,AL000169
SAS00169,Circuit ID,CIR000169
SAS00169,Technology Type,FTTP
SAS00170,Asset ID,SAS00170
SAS00170,Access Line ID,AL000170
SAS00170,Circuit ID,CIR000170
SAS00170,Technology Type,FTTC
SAS00171,Asset ID,SAS00171
SAS00171,Access Line ID,AL000171
SAS00171,Circuit ID,CIR000171
SAS00171,Technology Type,Copper
SAS00172,Asset ID,SAS00172
SAS00172,Access Line ID,AL000172
SAS00172,Circuit ID,CIR000172
SAS00172,Technology Type,FTTP
SAS00173,Asset ID,SAS00173
SAS00173,Access Line ID,AL000173
SAS00173,Circuit ID,CIR000173
SAS00173,Technology Type,Copper
SAS00174,Asset ID,SAS00174
SAS00174,Access Line ID,AL000174
SAS00174,Circuit ID,CIR000174
SAS00174,Technology Type,FTTP
SAS00175,Asset ID,SAS00175
SAS00175,Access Line ID,AL000175
SAS00175,Circuit ID,CIR000175
SAS00175,Technology Type,FTTC
SAS00176,Asset ID,SAS00176
SAS00176,Access Line ID,AL000176
SAS00176,Circuit ID,CIR000176
SAS00176,Technology Type,Copper
SAS00177,Asset ID,SAS00177
SAS00177,Access Line ID,AL000177
SAS00177,Circuit ID,CIR000177
SAS00177,Technology Type,Copper
SAS00178,Asset ID,SAS00178
SAS00178,Access Line ID,AL000178
SAS00178,Circuit ID,CIR000178
SAS00178,Technology Type,FTTP
SAS00179,Asset ID,SAS00179
SAS00179,Access Line ID,AL000179
SAS00179,Circuit ID,CIR000179
SAS00179,Technology Type,Copper
SAS00180,Asset ID,SAS00180
SAS00180,Access Line ID,AL000180
SAS00180,Circuit ID,CIR000180
SAS00180,Technology Type,FTTC
SAS00181,Asset ID,SAS00181
SAS00181,Access Line ID,AL000181
SAS00181,Circuit ID,CIR000181
SAS00181,Technology Type,FTTC
SAS00182,Asset ID,SAS00182
SAS00182,Access Line ID,AL000182
SAS00182,Circuit ID,CIR000182
SAS00182,Technology Type,Copper
SAS00183,Asset ID,SAS00183
SAS00183,Access Line ID,AL000183
SAS00183,Circuit ID,CIR000183
SAS00183,Technology Type,FTTC
SAS00184,Asset ID,SAS00184
SAS00184,Access Line ID,AL000184
SAS00184,Circuit ID,CIR000184
SAS00184,Technology Type,FTTC
SAS00185,Asset ID,SAS00185
SAS00185,Access Line ID,AL000185
SAS00185,Circuit ID,CIR000185
SAS00185,Technology Type,FTTC
SAS00186,Asset ID,SAS00186
SAS00186,Access Line ID,AL000186
SAS00186,Circuit ID,CIR000186
SAS00186,Technology Type,Copper
SAS00187,Asset ID,SAS00187
SAS00187,Access Line ID,AL000187
SAS00187,Circuit ID,CIR000187
SAS00187,Technology Type,FTTP
CSSS00188,Asset ID,SAS00188
CSSS00188,Access Line ID,AL000188
CSSS00188,Circuit ID,CIR000188
CSSS00188,Technology Type,FTTC
SAS00189,Asset ID,SAS00189
SAS00189,Access Line ID,AL000189
SAS00189,Circuit ID,CIR000189
SAS00189,Technology Type,FTTC
SAS00190,Asset ID,SAS00190
SAS00190,Access Line ID,AL000190
SAS00190,Circuit ID,CIR000190
SAS00190,Technology Type,FTTP
SAS00191,Asset ID,SAS00191
SAS00191,Access Line ID,AL000191
SAS00191,Circuit ID,CIR000191
SAS00191,Technology Type,FTTC
CSSS00192,Asset ID,SAS00192
CSSS00192,Access Line ID,AL000192
CSSS00192,Circuit ID,CIR000192
CSSS00192,Technology Type,FTTP
CSSS00193,Asset ID,SAS00193
CSSS00193,Access Line ID,AL000193
