css_customer_id,customer_name,customer_status,segment
CSSC00168,Customer 00168,Active,Consumer
CSSC00169,Customer 00169,Active,SME
CSSC00170,Customer 00170,Active,SME
CSSC00171,Customer 00171,Active,Enterprise
CSSC00172,Customer 00172,Active,Consumer
CSSC00173,Customer 00173,Active,Enterprise
CSSC00174,Customer 00174,Active,Consumer
CSSC00175,Customer 00175,Active,Consumer
CSSC00176,Customer 00176,Active,SME
CSSC00177,Customer 00177,Active,Enterprise
CSSC00178,Customer 00178,Active,Enterprise
CSSC00179,Customer 00179,Active,Enterprise
CSSC00180,Customer 00180,Active,SME
CSSC00181,Customer 00181,Active,Consumer
CSSC00182,Customer 00182,Active,Consumer
CSSC00183,Customer 00183,Active,Enterprise
CSSC00184,Customer 00184,Active,SME
CSSC00185,Customer 00185,Inactive,SME
CSSC00186,Customer 00186,Active,SME
CSSC00187,Customer 00187,Active,SME
CSSC00188,Customer 00188,Active,Consumer
CSSC00189,Customer 00189,Active,Enterprise
CSSC00190,Customer 00190,Active,Enterprise
CSSC00191,Customer 00191,Active,Consumer
CSSC00192,Customer 00192,Active,SME
CSSC00193,Customer 00193,Active,SME
CSSC00194,Customer 00194,Active,Consumer
CSSC00195,Customer 00195,Active,Enterprise
CSSC00196,Customer 00196,Active,Enterprise
CSSC00197,Customer 00197,Active,Consumer
CSSC00198,Customer 00198,Active,Consumer
CSSC00199,Customer 00199,Active,Consumer
CSSC00200,Customer 00200,Inactive,Consumer
CSSC00201,Customer 00201,Active,SME
CSSC00202,Customer 00202,Active,Enterprise
CSSC00203,Customer 00203,Active,Consumer
CSSC00204,Customer 00204,Active,SME
CSSC00205,Customer 00205,Active,Enterprise
CSSC00206,Customer 00206,Active,SME
CSSC00207,Customer 00207,Active,Consumer
CSSC00208,Customer 00208,Active,Consumer
CSSC00209,Customer 00209,Active,Enterprise
CSSC00210,Customer 00210,Active,SME
CSSC00211,Customer 00211,Active,Enterprise
CSSC00212,Customer 00212,Active,Enterprise
CSSC00213,Customer 00213,Active,Consumer
CSSC00214,Customer 00214,Active,Consumer
CSSC00215,Customer 00215,Active,Enterprise
CSSC00216,Customer 00216,Active,SME
CSSC00217,Customer 00217,Active,SME
CSSC00218,Customer 00218,Active,Consumer
CSSC00219,Customer 00219,Active,Enterprise
CSSC00220,Customer 00220,Active,Consumer
CSSC00221,Customer 00221,Active,SME
CSSC00222,Customer 00222,Active,Enterprise
CSSC00223,Customer 00223,Active,Consumer
CSSC00224,Customer 00224,Active,Enterprise
CSSC00225,Customer 00225,Active,SME
CSSC00226,Customer 00226,Active,Consumer
CSSC00227,Customer 00227,Active,Consumer
CSSC00228,Customer 00228,Active,Consumer
CSSC00229,Customer 00229,Active,Enterprise
CSSC00230,Customer 00230,Active,SME
CSSC00231,Customer 00231,Active,Enterprise
CSSC00232,Customer 00232,Active,Enterprise
CSSC00233,Customer 00233,Active,SME
CSSC00234,Customer 00234,Active,Enterprise
CSSC00235,Customer 00235,Active,Enterprise
CSSC00236,Customer 00236,Active,SME
CSSC00237,Customer 00237,Active,Consumer
CSSC00238,Customer 00238,Active,Consumer
CSSC00239,Customer 00239,Active,SME
CSSC00240,Customer 00240,Active,Enterprise
CSSC00241,Customer 00241,Active,SME
CSSC00242,Customer 00242,Active,SME
CSSC00243,Customer 00243,Active,Consumer
CSSC00244,Customer 00244,Inactive,SME
CSSC00245,Customer 00245,Active,SME
CSSC00246,Customer 00246,Active,Enterprise
CSSC00247,Customer 00247,Active,Consumer
CSSC00248,Customer 00248,Active,Consumer
CSSC00249,Customer 00249,Active,Consumer
CSSC00250,Customer 00250,Active,Consumer
CSSC00251,Customer 00251,Inactive,Consumer
CSSC00252,Customer 00252,Active,SME
CSSC00253,Customer 00253,Active,Consumer
CSSC00254,Customer 00254,Active,SME
CSSC00255,Customer 00255,Active,Consumer
CSSC00256,Customer 00256,Inactive,Enterprise
CSSC00257,Customer 00257,Active,Consumer
CSSC00258,Customer 00258,Active,Enterprise
CSSC00259,Customer 00259,Active,Consumer
CSSC00260,Customer 00260,Active,SME
CSSC00261,Customer 00261,Active,SME
CSSC00262,Customer 00262,Inactive,Consumer
CSSC00263,Customer 00263,Active,Enterprise
CSSC00264,Customer 00264,Active,Enterprise
CSSC00265,Customer 00265,Active,SME
CSSC00266,Customer 00266,Active,Consumer
CSSC00267,Customer 00267,Active,Consumer
CSSC00268,Customer 00268,Active,Enterprise
CSSC00269,Customer 00269,Active,SME
CSSC00270,Customer 00270,Active,Enterprise
CSSC00271,Customer 00271,Active,Consumer
CSSC00272,Customer 00272,Active,Consumer
CSSC00273,Customer 00273,Active,SME
CSSC00274,Customer 00274,Active,Consumer
CSSC00275,Customer 00275,Active,SME
CSSC00276,Customer 00276,Active,SME
CSSC00277,Customer 00277,Active,Consumer
CSSC00278,Customer 00278,Active,Consumer
CSSC00279,Customer 00279,Active,SME
CSSC00280,Customer 00280,Active,Enterprise
CSSC00281,Customer 00281,Active,SME
CSSC00282,Customer 00282,Active,SME
CSSC00283,Customer 00283,Inactive,Consumer
CSSC00284,Customer 00284,Active,SME
CSSC00285,Customer 00285,Active,Enterprise
CSSC00286,Customer 00286,Active,Enterprise
CSSC00287,Customer 00287,Active,SME
CSSC00288,Customer 00288,Active,Enterprise
CSSC00289,Customer 00289,Active,Consumer
CSSC00290,Customer 00290,Active,Enterprise
CSSC00291,Customer 00291,Active,SME
CSSC00292,Customer 00292,Active,SME
CSSC00293,Customer 00293,Active,SME
CSSC00294,Customer 00294,Active,SME
CSSC00295,Customer 00295,Active,SME
CSSC00296,Customer 00296,Active,Enterprise
CSSC00297,Customer 00297,Active,Enterprise
CSSC00298,Customer 00298,Active,SME
CSSC00299,Customer 00299,Active,SME
CSSC00300,Customer 00300,Active,SME
CSSC00301,Customer 00301,Active,Consumer
CSSC00302,Customer 00302,Active,SME
CSSC00303,Customer 00303,Active,SME
CSSC00304,Customer 00304,Active,SME
CSSC00305,Customer 00305,Active,SME
CSSC00306,Customer 00306,Active,SME
CSSC00307,Customer 00307,Inactive,Enterprise
CSSC00308,Customer 00308,Active,Enterprise
CSSC00309,Customer 00309,Active,Consumer
CSSC00310,Customer 00310,Active,SME
CSSC00311,Customer 00311,Active,Enterprise
CSSC00312,Customer 00312,Active,SME
CSSC00313,Customer 00313,Active,Enterprise
CSSC00314,Customer 00314,Active,Enterprise
CSSC00315,Customer 00315,Active,Consumer
CSSC00316,Customer 00316,Active,SME
CSSC00317,Customer 00317,Active,SME
CSSC00318,Customer 00318,Active,Enterprise
CSSC00319,Customer 00319,Active,Enterprise
CSSC00320,Customer 00320,Active,Consumer
CSSC00321,Customer 00321,Active,Enterprise
CSSC00322,Customer 00322,Active,Consumer
CSSC00323,Customer 00323,Active,Enterprise
CSSC00324,Customer 00324,Active,SME
CSSC00325,Customer 00325,Active,SME
CSSC00326,Customer 00326,Active,SME
CSSC00327,Customer 00327,Active,SME
CSSC00328,Customer 00328,Active,SME
CSSC00329,Customer 00329,Active,SME
CSSC00330,Customer 00330,Active,Enterprise
CSSC00331,Customer 00331,Active,Consumer
CSSC00332,Customer 00332,Active,Enterprise
CSSC00333,Customer 00333,Active,Enterprise
CSSC00334,Customer 00334,Active,Consumer
CSSC00335,Customer 00335,Active,Enterprise
CSSC00336,Customer 00336,Active,SME
CSSC00337,Customer 00337,Active,Consumer
CSSC00338,Customer 00338,Active,SME
CSSC00339,Customer 00339,Active,SME
CSSC00340,Customer 00340,Active,Consumer
CSSC00341,Customer 00341,Active,Consumer
CSSC00342,Customer 00342,Inactive,Consumer
CSSC00343,Customer 00343,Active,Consumer
CSSC00344,Customer 00344,Active,Consumer
CSSC00345,Customer 00345,Active,Enterprise
CSSC00346,Customer 00346,Active,SME
CSSC00347,Customer 00347,Active,Consumer
CSSC00348,Customer 00348,Active,SME
CSSC00349,Customer 00349,Active,Consumer
CSSC00350,Customer 00350,Active,SME
CSSC00351,Customer 00351,Active,SME
CSSC00352,Customer 00352,Active,SME
CSSC00353,Customer 00353,Active,SME
CSSC00354,Customer 00354,Active,Enterprise
CSSC00355,Customer 00355,Active,SME
CSSC00356,Customer 00356,Inactive,SME
CSSC00357,Customer 00357,Active,Consumer
CSSC00358,Customer 00358,Active,SME
CSSC00359,Customer 00359,Active,SME
CSSC00360,Customer 00360,Active,Consumer
CSSC00361,Customer 00361,Active,Enterprise
CSSC00362,Customer 00362,Active,SME
CSSC00363,Customer 00363,Inactive,Enterprise
CSSC00364,Customer 00364,Active,Consumer
CSSC00365,Customer 00365,Active,SME
CSSC00366,Customer 00366,Active,Consumer
CSSC00367,Customer 00367,Active,Enterprise
CSSC00368,Customer 00368,Active,Consumer
CSSC00369,Customer 00369,Active,Enterprise
CSSC00370,Customer 00370,Active,Consumer
CSSC00371,Customer 00371,Active,Enterprise
CSSC00372,Customer 00372,Active,Enterprise
CSSC00373,Customer 00373,Inactive,Consumer
CSSC00374,Customer 00374,Active,Enterprise
CSSC00375,Customer 00375,Active,SME
CSSC00376,Customer 00376,Active,SME
CSSC00377,Customer 00377,Active,Enterprise
CSSC00378,Customer 00378,Active,Enterprise
CSSC00379,Customer 00379,Active,Enterprise
CSSC00380,Customer 00380,Active,Enterprise
CSSC00381,Customer 00381,Active,SME
CSSC00382,Customer 00382,Active,SME
CSSC00383,Customer 00383,Active,Enterprise
CSSC00384,Customer 00384,Active,Consumer
CSSC00385,Customer 00385,Active,Consumer
CSSC00386,Customer 00386,Active,SME
CSSC00387,Customer 00387,Active,SME
CSSC00388,Customer 00388,Active,Consumer
CSSC00389,Customer 00389,Active,Enterprise
CSSC00390,Customer 00390,Active,Consumer
CSSC00391,Customer 00391,Active,Consumer
CSSC00392,Customer 00392,Active,SME
CSSC00393,Customer 00393,Active,SME
CSSC00394,Customer 00394,Active,Enterprise
CSSC00395,Customer 00395,Inactive,SME
CSSC00396,Customer 00396,Active,Consumer
CSSC00397,Customer 00397,Active,Enterprise
CSSC00398,Customer 00398,Active,SME
CSSC00399,Customer 00399,Active,SME
CSSC00400,Customer 00400,Active,Consumer
CSSC00401,Customer 00401,Active,Consumer
CSSC00402,Customer 00402,Active,Enterprise
CSSC00403,Customer 00403,Active,SME
CSSC00404,Customer 00404,Active,Enterprise
CSSC00405,Customer 00405,Active,Enterprise
CSSC00406,Customer 00406,Active,Enterprise
CSSC00407,Customer 00407,Active,Enterprise
CSSC00408,Customer 00408,Active,SME
CSSC00409,Customer 00409,Active,SME
CSSC00410,Customer 00410,Active,SME
CSSC00411,Customer 00411,Active,Consumer
CSSC00412,Customer 00412,Active,Enterprise
CSSC00413,Customer 00413,Active,SME
CSSC00414,Customer 00414,Active,Consumer
CSSC00415,Customer 00415,Inactive,Consumer
CSSC00416,Customer 00416,Active,Consumer
CSSC00417,Customer 00417,Active,Consumer
CSSC00418,Customer 00418,Active,SME
CSSC00419,Customer 00419,Active,Enterprise
CSSC00420,Customer 00420,Active,SME
CSSC00421,Customer 00421,Active,Enterprise
CSSC00422,Customer 00422,Active,SME
CSSC00423,Customer 00423,Active,Consumer
CSSC00424,Customer 00424,Active,Consumer
CSSC00425,Customer 00425,Active,Enterprise
CSSC00426,Customer 00426,Active,Consumer
CSSC00427,Customer 00427,Active,Enterprise
CSSC00428,Customer 00428,Active,Consumer
CSSC00429,Customer 00429,Active,SME
CSSC00430,Customer 00430,Active,Consumer
CSSC00431,Customer 00431,Active,Consumer
CSSC00432,Customer 00432,Active,Consumer
CSSC00433,Customer 00433,Active,Consumer
CSSC00434,Customer 00434,Active,SME
CSSC00435,Customer 00435,Active,Consumer
CSSC00436,Customer 00436,Active,SME
CSSC00437,Customer 00437,Active,Enterprise
CSSC00438,Customer 00438,Active,Consumer
CSSC00439,Customer 00439,Active,Consumer
CSSC00440,Customer 00440,Active,Consumer
CSSC00441,Customer 00441,Active,Consumer
CSSC00442,Customer 00442,Active,Consumer
CSSC00443,Customer 00443,Active,Consumer
CSSC00444,Customer 00444,Active,SME
CSSC00445,Customer 00445,Active,SME
CSSC00446,Customer 00446,Inactive,SME
CSSC00447,Customer 00447,Active,SME
CSSC00448,Customer 00448,Active,SME
CSSC00449,Customer 00449,Active,Consumer
CSSC00450,Customer 00450,Active,Enterprise
CSSC00451,Customer 00451,Inactive,SME
CSSC00452,Customer 00452,Active,Consumer
CSSC00453,Customer 00453,Active,Consumer
CSSC00454,Customer 00454,Active,Enterprise
CSSC00455,Customer 00455,Active,Enterprise
CSSC00456,Customer 00456,Active,Enterprise
CSSC00457,Customer 00457,Active,Enterprise
CSSC00458,Customer 00458,Active,SME
CSSC00459,Customer 00459,Active,SME
CSSC00460,Customer 00460,Active,SME
CSSC00461,Customer 00461,Active,Consumer
CSSC00462,Customer 00462,Active,Consumer
CSSC00463,Customer 00463,Active,Consumer
CSSC00464,Customer 00464,Active,SME
CSSC00465,Customer 00465,Active,Enterprise
CSSC00466,Customer 00466,Active,SME
CSSC00467,Customer 00467,Active,Enterprise
CSSC00468,Customer 00468,Active,SME
CSSC00469,Customer 00469,Active,SME
CSSC00470,Customer 00470,Active,SME
CSSC00471,Customer 00471,Active,Enterprise
CSSC00472,Customer 00472,Active,Enterprise
CSSC00473,Customer 00473,Inactive,Enterprise
CSSC00474,Customer 00474,Active,Enterprise
CSSC00475,Customer 00475,Active,SME
CSSC00476,Customer 00476,Active,SME
CSSC00477,Customer 00477,Inactive,Enterprise
CSSC00478,Customer 00478,Active,Enterprise
CSSC00479,Customer 00479,Active,Enterprise
CSSC00480,Customer 00480,Active,SME
CSSC00481,Customer 00481,Active,Enterprise
CSSC00482,Customer 00482,Active,SME
CSSC00483,Customer 00483,Inactive,SME
CSSC00484,Customer 00484,Inactive,Enterprise
CSSC00485,Customer 00485,Active,SME
CSSC00486,Customer 00486,Active,SME
CSSC00487,Customer 00487,Active,SME
CSSC00488,Customer 00488,Active,Enterprise
CSSC00489,Customer 00489,Active,Enterprise
CSSC00490,Customer 00490,Active,Enterprise
CSSC00491,Customer 00491,Active,Consumer
CSSC00492,Customer 00492,Active,Enterprise
CSSC00493,Customer 00493,Active,Enterprise
CSSC00494,Customer 00494,Active,Enterprise
CSSC00495,Customer 00495,Active,SME
CSSC00496,Customer 00496,Active,SME
CSSC00497,Customer 00497,Active,Consumer
CSSC00498,Customer 00498,Active,Enterprise
CSSC00499,Customer 00499,Active,Enterprise
CSSC00500,Customer 00500,Active,Enterprise
CSSC00501,Customer 00501,Active,SME
CSSC00502,Customer 00502,Active,Enterprise
CSSC00503,Customer 00503,Active,SME
CSSC00504,Customer 00504,Active,SME
CSSC00505,Customer 00505,Active,Enterprise
CSSC00506,Customer 00506,Active,SME
CSSC00507,Customer 00507,Active,Enterprise
CSSC00508,Customer 00508,Active,Consumer
CSSC00509,Customer 00509,Inactive,Enterprise
CSSC00510,Customer 00510,Inactive,Consumer
CSSC00511,Customer 00511,Active,SME
CSSC00512,Customer 00512,Inactive,SME
CSSC00513,Customer 00513,Inactive,Enterprise
CSSC00514,Customer 00514,Active,SME
CSSC00515,Customer 00515,Active,SME
CSSC00516,Customer 00516,Active,Consumer
CSSC00517,Customer 00517,Inactive,Enterprise
CSSC00518,Customer 00518,Inactive,Enterprise
CSSC00519,Customer 00519,Active,SME
CSSC00520,Customer 00520,Active,Consumer
CSSC00521,Customer 00521,Active,Consumer
CSSC00522,Customer 00522,Active,Consumer
CSSC00523,Customer 00523,Active,Consumer
CSSC00524,Customer 00524,Active,Enterprise
CSSC00525,Customer 00525,Active,Consumer
CSSC00526,Customer 00526,Active,Enterprise
CSSC00527,Customer 00527,Active,Consumer
CSSC00528,Customer 00528,Active,Enterprise
CSSC00529,Customer 00529,Active,Consumer
CSSC00530,Customer 00530,Active,Enterprise
CSSC00531,Customer 00531,Active,SME
CSSC00532,Customer 00532,Active,Consumer
CSSC00533,Customer 00533,Active,Enterprise
CSSC00534,Customer 00534,Active,SME
CSSC00535,Customer 00535,Inactive,SME
CSSC00536,Customer 00536,Active,Consumer
CSSC00537,Customer 00537,Active,Enterprise
CSSC00538,Customer 00538,Active,Consumer
CSSC00539,Customer 00539,Active,SME
CSSC00540,Customer 00540,Active,Enterprise
CSSC00541,Customer 00541,Active,Consumer
CSSC00542,Customer 00542,Active,Enterprise
CSSC00543,Customer 00543,Active,SME
CSSC00544,Customer 00544,Active,Consumer
CSSC00545,Customer 00545,Active,SME
CSSC00546,Customer 00546,Active,SME
CSSC00547,Customer 00547,Active,Consumer
CSSC00548,Customer 00548,Inactive,SME
CSSC00549,Customer 00549,Active,Consumer
CSSC00550,Customer 00550,Active,SME
CSSC00551,Customer 00551,Active,Enterprise
CSSC00552,Customer 00552,Active,SME
CSSC00553,Customer 00553,Active,Consumer
CSSC00554,Customer 00554,Active,SME
CSSC00555,Customer 00555,Active,SME
CSSC00556,Customer 00556,Active,SME
CSSC00557,Customer 00557,Active,SME
CSSC00558,Customer 00558,Active,SME
CSSC00559,Customer 00559,Active,Enterprise
CSSC00560,Customer 00560,Active,Enterprise
CSSC00561,Customer 00561,Active,Consumer
CSSC00562,Customer 00562,Active,Enterprise
CSSC00563,Customer 00563,Active,SME
CSSC00564,Customer 00564,Active,SME
CSSC00565,Customer 00565,Active,Consumer
CSSC00566,Customer 00566,Active,Enterprise
CSSC00567,Customer 00567,Active,Consumer
CSSC00568,Customer 00568,Active,Consumer
CSSC00569,Customer 00569,Active,SME
CSSC00570,Customer 00570,Active,Consumer
CSSC00571,Customer 00571,Active,Consumer
CSSC00572,Customer 00572,Active,SME
CSSC00573,Customer 00573,Inactive,Enterprise
CSSC00574,Customer 00574,Inactive,Consumer
CSSC00575,Customer 00575,Active,Consumer
CSSC00576,Customer 00576,Active,Consumer
CSSC00577,Customer 00577,Active,SME
CSSC00578,Customer 00578,Active,Consumer
CSSC00579,Customer 00579,Active,Enterprise
CSSC00580,Customer 00580,Active,SME
CSSC00581,Customer 00581,Active,SME
CSSC00582,Customer 00582,Active,SME
CSSC00583,Customer 00583,Active,SME
CSSC00584,Customer 00584,Active,Consumer
CSSC00585,Customer 00585,Active,Enterprise
CSSC00586,Customer 00586,Active,Enterprise
CSSC00587,Customer 00587,Active,Consumer
CSSC00588,Customer 00588,Active,SME
CSSC00589,Customer 00589,Active,Consumer
CSSC00590,Customer 00590,Active,Consumer
CSSC00591,Customer 00591,Active,Enterprise
CSSC00592,Customer 00592,Active,SME
CSSC00593,Customer 00593,Active,SME
CSSC00594,Customer 00594,Active,SME
CSSC00595,Customer 00595,Active,SME
CSSC00596,Customer 00596,Active,Consumer
CSSC00597,Customer 00597,Active,SME
CSSC00598,Customer 00598,Active,Consumer
CSSC00599,Customer 00599,Active,Consumer
CSSC00600,Customer 00600,Active,Enterprise
CSSC00601,Customer 00601,Active,Enterprise
CSSC00602,Customer 00602,Active,Enterprise
CSSC00603,Customer 00603,Active,SME
CSSC00604,Customer 00604,Active,Consumer
CSSC00605,Customer 00605,Active,Consumer
CSSC00606,Customer 00606,Active,Consumer
CSSC00607,Customer 00607,Active,Consumer
CSSC00608,Customer 00608,Active,Consumer
CSSC00609,Customer 00609,Active,SME
CSSC00610,Customer 00610,Active,SME
CSSC00611,Customer 00611,Active,Consumer
CSSC00612,Customer 00612,Active,Consumer
CSSC00613,Customer 00613,Active,Consumer
CSSC00614,Customer 00614,Active,Consumer
CSSC00615,Customer 00615,Active,Enterprise
CSSC00616,Customer 00616,Active,Enterprise
CSSC00617,Customer 00617,Active,Consumer
CSSC00618,Customer 00618,Active,Consumer
CSSC00619,Customer 00619,Active,Consumer
CSSC00620,Customer 00620,Active,Consumer
CSSC00621,Customer 00621,Active,SME
CSSC00622,Customer 00622,Active,SME
CSSC00623,Customer 00623,Active,SME
CSSC00624,Customer 00624,Active,Consumer
CSSC00625,Customer 00625,Active,Consumer
CSSC00626,Customer 00626,Active,Consumer
CSSC00627,Customer 00627,Active,SME
CSSC00628,Customer 00628,Active,SME
CSSC00629,Customer 00629,Active,SME
CSSC00630,Customer 00630,Active,SME
CSSC00631,Customer 00631,Active,Enterprise
CSSC00632,Customer 00632,Active,Enterprise
CSSC00633,Customer 00633,Active,Enterprise
CSSC00634,Customer 00634,Inactive,SME
CSSC00635,Customer 00635,Active,Enterprise
CSSC00636,Customer 00636,Active,Enterprise
CSSC00637,Customer 00637,Active,SME
CSSC00638,Customer 00638,Active,SME
CSSC00639,Customer 00639,Active,SME
CSSC00640,Customer 00640,Active,Consumer
CSSC00641,Customer 00641,Active,Enterprise
CSSC00642,Customer 00642,Inactive,SME
CSSC00643,Customer 00643,Active,SME
CSSC00644,Customer 00644,Active,SME
