billing_product_id,billing_account_id,product_instance_id,standard_product_code,billing_product_code,billing_product_name,product_family,billing_status,monthly_charge
BP00057,BA00489,SAS00057,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,78.1
BP00058,BA00674,SAS00058,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,105.88
BP00059,BA00743,ORPHAN_AS00059,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,103.87
BP00060,BA00429,SAS00060,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,60.48
BP00061,BA00515,SAS00061,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,239.01
BP00062,BA00946,SAS00062,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,88.8
BP00063,BA00417,SAS00063,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Inactive,214.1
BP00064,BA00246,ORPHAN_AS00064,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,56.31
BP00065,BA00568,SAS00065,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,205.54
BP00066,BA00694,SAS00066,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,187.54
BP00067,BA00694,SAS00067,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Suspended,179.91
BP00068,BA00933,SAS00068,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,19.69
BP00069,BA00354,SAS00069,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,189.44
BP00070,BA00902,SAS00070,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,176.71
BP00071,BA00173,SAS00071,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,222.61
BP00072,BA00077,SAS00072,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,48.93
BP00073,BA00508,ORPHAN_AS00073,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,104.6
BP00074,BA00256,SAS00074,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,215.38
BP00075,BA00495,SAS00075,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,67.43
BP00076,BA00223,SAS00076,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,233.55
BP00077,BA00915,SAS00077,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,125.43
BP00078,BA00365,SAS00078,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,124.8
BP00079,BA00359,SAS00079,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Suspended,61.19
BP00080,BA00504,SAS00080,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,140.75
BP00081,BA00936,SAS00081,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,54.11
BP00082,BA00405,SAS00082,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,102.56
BP00083,BA00276,SAS00083,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,119.75
BP00084,BA00363,SAS00084,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,19.35
BP00085,BA00114,SAS00085,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,27.34
BP00086,BA00923,SAS00086,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,172.56
BP00087,BA00273,SAS00087,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,131.46
BP00088,BA00131,SAS00088,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,195.34
BP00089,BA00946,SAS00089,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,209.55
BP00090,BA00812,SAS00090,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,54.09
BP00091,BA00243,SAS00091,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,210.52
BP00092,BA00009,SAS00092,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,85.16
BP00093,BA00254,SAS00093,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,187.19
BP00094,BA00118,SAS00094,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Suspended,248.67
BP00095,BA00204,SAS00095,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,199.59
BP00096,BA00626,SAS00096,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,248.27
BP00097,BA00235,SAS00097,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,111.1
BP00098,BA00150,SAS00098,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,161.02
BP00099,BA00418,ORPHAN_AS00099,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,180.44
BP00100,BA00437,SAS00100,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,136.29
BP00101,BA00276,SAS00101,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,236.78
BP00102,BA00917,SAS00102,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,27.49
BP00103,BA00218,SAS00103,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,83.0
BP00104,BA00259,SAS00104,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,102.35
BP00105,BA00014,ORPHAN_AS00105,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,196.75
BP00106,BA00830,SAS00106,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,198.68
BP00107,BA00666,SAS00107,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,153.56
BP00108,BA00645,SAS00108,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Inactive,45.92
BP00109,BA00671,SAS00109,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,62.76
BP00110,BA00965,ORPHAN_AS00110,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,97.55
BP00111,BA00207,SAS00111,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,53.65
BP00112,BA00729,SAS00112,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,221.48
BP00113,BA00999,SAS00113,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,102.91
BP00114,BA00447,SAS00114,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,115.21
BP00115,BA00023,SAS00115,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,81.6
BP00116,BA00979,SAS00116,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,202.3
BP00117,BA00408,SAS00117,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,141.53
BP00118,BA00449,ORPHAN_AS00118,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,107.12
BP00119,BA00279,SAS00119,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,18.84
BP00120,BA00010,SAS00120,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Suspended,201.43
BP00121,BA00538,SAS00121,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,215.77
BP00122,BA00122,SAS00122,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,28.58
BP00123,BA00152,ORPHAN_AS00123,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,82.44
BP00124,BA00053,SAS00124,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,75.77
BP00125,BA00002,SAS00125,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,164.78
BP00126,BA00970,SAS00126,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,145.43
BP00127,BA00627,SAS00127,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,246.58
BP00128,BA00365,ORPHAN_AS00128,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,241.93
BP00129,BA00551,SAS00129,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,219.37
BP00130,BA00740,SAS00130,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,106.62
BP00131,BA00650,SAS00131,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,65.83
BP00132,BA00209,SAS00132,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,205.39
BP00133,BA00238,SAS00133,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,118.67
BP00134,BA00508,SAS00134,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,60.93
BP00135,BA00503,SAS00135,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,59.85
BP00136,BA00907,SAS00136,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,109.45
BP00137,BA00074,ORPHAN_AS00137,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,123.57
BP00138,BA00742,SAS00138,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,186.61
BP00139,BA00387,SAS00139,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,43.53
BP00140,BA00958,SAS00140,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,75.62
BP00141,BA00643,SAS00141,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,201.84
BP00142,BA00556,SAS00142,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,96.51
BP00143,BA00492,SAS00143,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Inactive,225.03
BP00144,BA00491,SAS00144,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,30.96
BP00145,BA00127,SAS00145,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,28.33
BP00146,BA00908,SAS00146,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,50.91
BP00147,BA00438,ORPHAN_AS00147,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,99.97
BP00148,BA00701,SAS00148,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,223.14
BP00149,BA00174,SAS00149,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Ceased,70.09
BP00150,BA00079,SAS00150,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,45.46
BP00151,BA00918,SAS00151,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,53.06
BP00152,BA00186,SAS00152,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,52.85
BP00153,BA00838,SAS00153,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,221.09
BP00154,BA00378,SAS00154,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,206.09
BP00155,BA00003,ORPHAN_AS00155,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Suspended,244.91
BP00156,BA00152,SAS00156,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,185.35
BP00157,BA00069,SAS00157,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,117.17
BP00158,BA00331,SAS00158,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,60.19
BP00159,BA00435,SAS00159,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,243.7
BP00160,BA00142,SAS00160,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,169.72
BP00161,BA00510,SAS00161,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,132.28
BP00162,BA00086,SAS00162,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,115.87
BP00163,BA00767,SAS00163,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,38.24
BP00164,BA00872,SAS00164,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,147.54
BP00165,BA00062,SAS00165,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Suspended,101.72
BP00166,BA00143,SAS00166,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,51.44
BP00167,BA00935,SAS00167,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,66.89
BP00168,BA00121,SAS00168,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,181.32
BP00169,BA00989,ORPHAN_AS00169,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,30.55
BP00170,BA00489,SAS00170,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Inactive,219.95
BP00171,BA00081,SAS00171,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,20.89
BP00172,BA00784,SAS00172,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,190.51
BP00173,BA00307,SAS00173,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,185.63
BP00174,BA00014,SAS00174,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,54.17
BP00175,BA00770,ORPHAN_AS00175,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,55.2
BP00176,BA00971,SAS00176,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Suspended,146.56
BP00177,BA00514,SAS00177,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,70.74
BP00178,BA00095,SAS00178,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,244.88
BP00179,BA00634,SAS00179,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,109.01
BP00180,BA00620,SAS00180,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Suspended,207.44
BP00181,BA00658,SAS00181,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,106.27
BP00182,BA00435,SAS00182,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,43.15
BP00183,BA00867,SAS00183,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,73.57
BP00184,BA00217,SAS00184,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,193.51
BP00185,BA00654,SAS00185,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,73.76
BP00186,BA00046,SAS00186,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,201.33
BP00187,BA00967,SAS00187,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,245.49
BP00188,BA00513,SAS00188,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,192.43
BP00189,BA00720,SAS00189,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,94.87
BP00190,BA00515,SAS00190,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,52.84
BP00191,BA00601,SAS00191,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Suspended,26.68
BP00192,BA00081,SAS00192,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Suspended,39.64
BP00193,BA00827,SAS00193,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,50.68
BP00194,BA00514,SAS00194,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,187.06
BP00195,BA00350,SAS00195,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,48.44
BP00196,BA00963,SAS00196,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,224.64
BP00197,BA00214,SAS00197,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,158.8
BP00198,BA00510,SAS00198,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,21.47
BP00199,BA00889,SAS00199,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Ceased,199.3
BP00200,BA00322,ORPHAN_AS00200,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,86.58
BP00201,BA00362,SAS00201,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,59.57
BP00202,BA00485,SAS00202,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,195.05
BP00203,BA00963,SAS00203,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,149.95
BP00204,BA00411,SAS00204,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,161.77
BP00205,BA00525,SAS00205,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Suspended,238.87
BP00206,BA00519,SAS00206,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,221.56
BP00207,BA00660,ORPHAN_AS00207,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,201.42
BP00208,BA00159,SAS00208,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Suspended,85.43
BP00209,BA00075,SAS00209,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,220.8
BP00210,BA00480,SAS00210,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,226.83
BP00211,BA00750,ORPHAN_AS00211,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,240.62
BP00212,BA00412,SAS00212,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,91.61
BP00213,BA00720,SAS00213,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,44.52
BP00214,BA00972,SAS00214,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,166.53
BP00215,BA00616,ORPHAN_AS00215,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,32.48
BP00216,BA00485,SAS00216,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,67.07
BP00217,BA00434,SAS00217,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,165.48
BP00218,BA00415,ORPHAN_AS00218,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,220.72
BP00219,BA00220,SAS00219,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,78.19
BP00220,BA00924,ORPHAN_AS00220,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,241.5
BP00221,BA00965,SAS00221,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,128.32
BP00222,BA00714,SAS00222,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,229.72
BP00223,BA00575,SAS00223,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Inactive,156.53
BP00224,BA00632,SAS00224,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,172.06
BP00225,BA00846,SAS00225,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,91.43
BP00226,BA00152,SAS00226,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,91.41
