asset_id,attribute_name,attribute_value
SAS00042,Circuit ID,CIR000042
SAS00042,Postcode,MK13 2AA
SAS00042,Technology Type,FTTP
SAS00043,Access Line ID,AL000043
SAS00043,Circuit ID,CIR000043
SAS00043,Postcode,MK1 5AA
SAS00043,Technology Type,FTTC
SAS00044,Access Line ID,AL000044
SAS00044,Circuit ID,CIR000044
SAS00044,Postcode,MK11 5AA
SAS00044,Technology Type,FTTC
SAS00045,Access Line ID,AL000045
SAS00045,Circuit ID,CIR000045
SAS00045,Postcode,MK12 4AA
SAS00045,Technology Type,Copper
SAS00046,Access Line ID,AL000046
SAS00046,Circuit ID,CIR000046
SAS00046,Postcode,MK6 7AA
SAS00046,Technology Type,Copper
SAS00047,Access Line ID,AL000047
SAS00047,Circuit ID,CIR000047
SAS00047,Postcode,MK4 5AA
SAS00047,Technology Type,Copper
SAS00048,Access Line ID,AL000048
SAS00048,Circuit ID,CIR000048
SAS00048,Postcode,MK16 3AA
SAS00048,Technology Type,Copper
SAS00049,Access Line ID,AL000049
SAS00049,Circuit ID,CIR000049
SAS00049,Postcode,MK14 9AA
SAS00049,Technology Type,Copper
SAS00050,Access Line ID,AL000050
SAS00050,Circuit ID,CIR000050
SAS00050,Postcode,MK8 2AA
SAS00050,Technology Type,FTTP
SAS00051,Access Line ID,AL000051
SAS00051,Circuit ID,CIR000051
SAS00051,Postcode,MK3 2AA
SAS00051,Technology Type,FTTP
SAS00052,Access Line ID,AL000052
SAS00052,Circuit ID,CIR000052
SAS00052,Postcode,MK19 9AA
SAS00052,Technology Type,Copper
SAS00053,Access Line ID,AL000053
SAS00053,Circuit ID,CIR000053
SAS00053,Postcode,MK15 2AA
SAS00053,Technology Type,FTTC
SAS00054,Access Line ID,AL000054
SAS00054,Circuit ID,CIR000054
SAS00054,Postcode,MK3 9AA
SAS00054,Technology Type,FTTC
SAS00055,Access Line ID,AL000055
SAS00055,Circuit ID,CIR000055
SAS00055,Postcode,MK14 8AA
SAS00055,Technology Type,FTTC
SAS00056,Access Line ID,AL000056
SAS00056,Circuit ID,CIR000056
SAS00056,Postcode,MK1 7AA
SAS00056,Technology Type,FTTC
SAS00057,Access Line ID,AL000057
SAS00057,Circuit ID,CIR000057
SAS00057,Postcode,MK2 7AA
SAS00057,Technology Type,FTTC
SAS00058,Access Line ID,AL000058
SAS00058,Circuit ID,CIR000058
SAS00058,Postcode,MK3 8AA
SAS00058,Technology Type,Copper
SAS00059,Access Line ID,AL000059
SAS00059,Circuit ID,CIR000059
SAS00059,Postcode,MK14 6AA
SAS00059,Technology Type,FTTP
SAS00060,Access Line ID,AL000060
SAS00060,Circuit ID,CIR000060
SAS00060,Postcode,MK13 2AA
SAS00060,Technology Type,FTTP
SAS00061,Access Line ID,AL000061
SAS00061,Circuit ID,CIR000061
SAS00061,Postcode,MK12 2AA
SAS00061,Technology Type,Copper
SAS00062,Access Line ID,AL000062
SAS00062,Circuit ID,CIR000062
SAS00062,Postcode,MK8 1AA
SAS00062,Technology Type,Copper
SAS00063,Access Line ID,AL000063
SAS00063,Circuit ID,CIR000063
SAS00063,Postcode,MK18 7AA
SAS00063,Technology Type,FTTC
SAS00064,Access Line ID,AL000064
SAS00064,Circuit ID,CIR000064
SAS00064,Postcode,MK15 6AA
SAS00064,Technology Type,FTTP
SAS00065,Access Line ID,AL000065
SAS00065,Circuit ID,CIR000065
SAS00065,Postcode,MK2 7AA
SAS00065,Technology Type,FTTP
SAS00066,Access Line ID,AL000066
SAS00066,Circuit ID,CIR000066
SAS00066,Postcode,MK4 1AA
SAS00066,Technology Type,FTTC
SAS00067,Access Line ID,AL000067
SAS00067,Circuit ID,CIR000067
SAS00067,Postcode,MK8 1AA
SAS00067,Technology Type,Copper
SAS00068,Access Line ID,AL000068
SAS00068,Circuit ID,CIR000068
SAS00068,Postcode,MK2 3AA
SAS00068,Technology Type,FTTP
SAS00069,Access Line ID,AL000069
SAS00069,Circuit ID,CIR000069
SAS00069,Postcode,MK19 6AA
SAS00069,Technology Type,FTTP
SAS00070,Access Line ID,AL000070
SAS00070,Circuit ID,CIR000070
SAS00070,Postcode,MK8 7AA
SAS00070,Technology Type,FTTP
SAS00071,Access Line ID,AL000071
SAS00071,Circuit ID,CIR000071
SAS00071,Postcode,MK14 9AA
SAS00071,Technology Type,FTTP
SAS00072,Access Line ID,AL000072
SAS00072,Circuit ID,CIR000072
SAS00072,Postcode,MK17 6AA
SAS00072,Technology Type,FTTC
SAS00073,Access Line ID,AL000073
SAS00073,Circuit ID,CIR000073
SAS00073,Postcode,MK13 3AA
SAS00073,Technology Type,FTTP
SAS00074,Access Line ID,AL000074
SAS00074,Circuit ID,CIR000074
SAS00074,Postcode,MK10 3AA
SAS00074,Technology Type,Copper
SAS00075,Access Line ID,AL000075
SAS00075,Circuit ID,CIR000075
SAS00075,Postcode,MK14 9AA
SAS00075,Technology Type,FTTP
SAS00076,Access Line ID,AL000076
SAS00076,Circuit ID,CIR000076
SAS00076,Postcode,MK7 6AA
SAS00076,Technology Type,FTTC
SAS00077,Access Line ID,AL000077
SAS00077,Circuit ID,CIR000077
SAS00077,Postcode,MK3 9AA
SAS00077,Technology Type,FTTC
SAS00078,Access Line ID,AL000078
SAS00078,Circuit ID,CIR000078
SAS00078,Postcode,MK20 1AA
SAS00078,Technology Type,FTTC
SAS00079,Access Line ID,AL000079
SAS00079,Circuit ID,CIR000079
SAS00079,Postcode,MK16 4AA
SAS00079,Technology Type,FTTC
SAS00080,Access Line ID,AL000080
SAS00080,Circuit ID,CIR000080
SAS00080,Postcode,MK7 4AA
SAS00080,Technology Type,FTTP
SAS00081,Access Line ID,AL000081
SAS00081,Circuit ID,CIR000081
SAS00081,Postcode,MK8 4AA
SAS00081,Technology Type,Copper
SAS00082,Access Line ID,AL000082
SAS00082,Circuit ID,CIR000082
SAS00082,Postcode,MK13 8AA
SAS00082,Technology Type,FTTC
SAS00083,Access Line ID,AL000083
SAS00083,Circuit ID,CIR000083
SAS00083,Postcode,MK12 9AA
SAS00083,Technology Type,Copper
SAS00084,Access Line ID,AL000084
SAS00084,Circuit ID,CIR000084
SAS00084,Postcode,MK11 4AA
SAS00084,Technology Type,FTTP
SAS00085,Access Line ID,AL000085
SAS00085,Circuit ID,CIR000085
SAS00085,Postcode,MK5 1AA
SAS00085,Technology Type,FTTP
SAS00086,Access Line ID,AL000086
SAS00086,Circuit ID,CIR000086
SAS00086,Postcode,MK10 3AA
SAS00086,Technology Type,Copper
SAS00087,Access Line ID,AL000087
SAS00087,Circuit ID,CIR000087
SAS00087,Postcode,MK16 9AA
SAS00087,Technology Type,FTTP
SAS00088,Access Line ID,AL000088
SAS00088,Circuit ID,CIR000088
SAS00088,Postcode,MK16 8AA
SAS00088,Technology Type,Copper
SAS00089,Access Line ID,AL000089
SAS00089,Circuit ID,CIR000089
SAS00089,Postcode,MK5 9AA
SAS00089,Technology Type,Copper
SAS00090,Access Line ID,AL000090
SAS00090,Circuit ID,CIR000090
SAS00090,Postcode,MK17 1AA
SAS00090,Technology Type,FTTC
SAS00091,Access Line ID,AL000091
SAS00091,Circuit ID,CIR000091
SAS00091,Postcode,MK1 7AA
SAS00091,Technology Type,FTTC
SAS00092,Access Line ID,AL000092
SAS00092,Circuit ID,CIR000092
SAS00092,Postcode,MK1 4AA
SAS00092,Technology Type,Copper
SAS00093,Access Line ID,AL000093
SAS00093,Circuit ID,CIR000093
SAS00093,Postcode,MK16 1AA
SAS00093,Technology Type,FTTP
SAS00094,Access Line ID,AL000094
SAS00094,Circuit ID,CIR000094
SAS00094,Postcode,MK1 9AA
SAS00094,Technology Type,Copper
SAS00095,Access Line ID,AL000095
SAS00095,Circuit ID,CIR000095
SAS00095,Postcode,MK1 9AA
SAS00095,Technology Type,FTTP
SAS00096,Access Line ID,AL000096
SAS00096,Circuit ID,CIR000096
SAS00096,Postcode,MK4 2AA
SAS00096,Technology Type,Copper
SAS00097,Access Line ID,AL000097
SAS00097,Circuit ID,CIR000097
SAS00097,Postcode,MK9 6AA
SAS00097,Technology Type,FTTC
SAS00098,Access Line ID,AL000098
SAS00098,Circuit ID,CIR000098
SAS00098,Postcode,MK15 4AA
SAS00098,Technology Type,FTTP
SAS00099,Access Line ID,AL000099
SAS00099,Circuit ID,CIR000099
SAS00099,Postcode,MK2 2AA
SAS00099,Technology Type,FTTC
SAS00100,Access Line ID,AL000100
SAS00100,Circuit ID,CIR000100
SAS00100,Postcode,MK2 1AA
SAS00100,Technology Type,FTTP
SAS00101,Access Line ID,AL000101
SAS00101,Circuit ID,CIR000101
SAS00101,Postcode,MK11 2AA
SAS00101,Technology Type,FTTC
SAS00102,Access Line ID,AL000102
SAS00102,Circuit ID,CIR000102
SAS00102,Postcode,MK7 8AA
SAS00102,Technology Type,Copper
SAS00103,Access Line ID,AL000103
SAS00103,Circuit ID,CIR000103
SAS00103,Postcode,MK18 1AA
SAS00103,Technology Type,FTTC
SAS00104,Access Line ID,AL000104
SAS00104,Circuit ID,CIR000104
SAS00104,Postcode,MK19 3AA
SAS00104,Technology Type,FTTP
SAS00105,Access Line ID,AL000105
SAS00105,Circuit ID,CIR000105
SAS00105,Postcode,MK10 3AA
SAS00105,Technology Type,Copper
SAS00106,Access Line ID,AL000106
SAS00106,Circuit ID,CIR000106
SAS00106,Postcode,MK18 6AA
SAS00106,Technology Type,FTTC
SAS00107,Access Line ID,AL000107
SAS00107,Circuit ID,CIR000107
SAS00107,Postcode,MK17 6AA
SAS00107,Technology Type,Copper
SAS00108,Access Line ID,AL000108
SAS00108,Circuit ID,CIR000108
SAS00108,Postcode,MK11 7AA
SAS00108,Technology Type,FTTC
SAS00109,Access Line ID,AL000109
SAS00109,Circuit ID,CIR000109
SAS00109,Postcode,MK15 8AA
SAS00109,Technology Type,FTTP
SAS00110,Access Line ID,AL000110
SAS00110,Circuit ID,CIR000110
SAS00110,Postcode,MK14 3AA
SAS00110,Technology Type,FTTP
SAS00111,Access Line ID,AL000111
SAS00111,Circuit ID,CIR000111
SAS00111,Postcode,MK20 5AA
SAS00111,Technology Type,Copper
SAS00112,Access Line ID,AL000112
SAS00112,Circuit ID,CIR000112
SAS00112,Postcode,MK9 3AA
SAS00112,Technology Type,FTTC
SAS00113,Access Line ID,AL000113
SAS00113,Circuit ID,CIR000113
SAS00113,Postcode,MK13 6AA
SAS00113,Technology Type,Copper
SAS00114,Access Line ID,AL000114
SAS00114,Circuit ID,CIR000114
SAS00114,Postcode,MK15 6AA
SAS00114,Technology Type,FTTC
SAS00115,Access Line ID,AL000115
SAS00115,Circuit ID,CIR000115
SAS00115,Postcode,MK6 7AA
SAS00115,Technology Type,FTTP
SAS00116,Access Line ID,AL000116
SAS00116,Circuit ID,CIR000116
SAS00116,Postcode,MK4 1AA
SAS00116,Technology Type,Copper
SAS00117,Access Line ID,AL000117
SAS00117,Circuit ID,CIR000117
SAS00117,Postcode,MK13 1AA
SAS00117,Technology Type,FTTP
SAS00118,Access Line ID,AL000118
SAS00118,Circuit ID,CIR000118
SAS00118,Postcode,MK18 4AA
SAS00118,Technology Type,FTTP
SAS00119,Access Line ID,AL000119
SAS00119,Circuit ID,CIR000119
SAS00119,Postcode,MK6 3AA
SAS00119,Technology Type,Copper
SAS00120,Access Line ID,AL000120
SAS00120,Circuit ID,CIR000120
SAS00120,Postcode,MK3 3AA
SAS00120,Technology Type,FTTP
SAS00121,Access Line ID,AL000121
SAS00121,Circuit ID,CIR000121
SAS00121,Postcode,MK3 6AA
SAS00121,Technology Type,FTTP
SAS00122,Access Line ID,AL000122
SAS00122,Circuit ID,CIR000122
SAS00122,Postcode,MK20 4AA
SAS00122,Technology Type,FTTC
SAS00123,Access Line ID,AL000123
SAS00123,Circuit ID,CIR000123
SAS00123,Postcode,MK13 6AA
SAS00123,Technology Type,FTTC
SAS00124,Access Line ID,AL000124
SAS00124,Circuit ID,CIR000124
SAS00124,Postcode,MK15 6AA
SAS00124,Technology Type,Copper
SAS00125,Access Line ID,AL000125
SAS00125,Circuit ID,CIR000125
SAS00125,Postcode,MK10 6AA
SAS00125,Technology Type,Copper
SAS00126,Access Line ID,AL000126
SAS00126,Circuit ID,CIR000126
SAS00126,Postcode,MK6 7AA
SAS00126,Technology Type,Copper
SAS00127,Access Line ID,AL000127
SAS00127,Circuit ID,CIR000127
SAS00127,Postcode,MK19 4AA
SAS00127,Technology Type,FTTP
SAS00128,Access Line ID,AL000128
SAS00128,Circuit ID,CIR000128
SAS00128,Postcode,MK12 2AA
SAS00128,Technology Type,FTTP
SAS00129,Access Line ID,AL000129
SAS00129,Circuit ID,CIR000129
SAS00129,Postcode,MK18 1AA
SAS00129,Technology Type,Copper
SAS00130,Access Line ID,AL000130
SAS00130,Circuit ID,CIR000130
SAS00130,Postcode,MK15 5AA
SAS00130,Technology Type,Copper
SAS00131,Access Line ID,AL000131
SAS00131,Circuit ID,CIR000131
SAS00131,Postcode,MK16 3AA
SAS00131,Technology Type,Copper
SAS00132,Access Line ID,AL000132
SAS00132,Circuit ID,CIR000132
SAS00132,Postcode,MK14 7AA
SAS00132,Technology Type,FTTP
SAS00133,Access Line ID,AL000133
SAS00133,Circuit ID,CIR000133
SAS00133,Postcode,MK19 7AA
SAS00133,Technology Type,FTTP
SAS00134,Access Line ID,AL000134
SAS00134,Circuit ID,CIR000134
SAS00134,Postcode,MK18 1AA
SAS00134,Technology Type,Copper
SAS00135,Access Line ID,AL000135
SAS00135,Circuit ID,CIR000135
SAS00135,Postcode,MK20 2AA
SAS00135,Technology Type,FTTP
SAS00136,Access Line ID,AL000136
SAS00136,Circuit ID,CIR000136
SAS00136,Postcode,MK6 1AA
SAS00136,Technology Type,FTTC
SAS00137,Access Line ID,AL000137
SAS00137,Circuit ID,CIR000137
SAS00137,Postcode,MK11 7AA
SAS00137,Technology Type,Copper
SAS00138,Access Line ID,AL000138
SAS00138,Circuit ID,CIR000138
SAS00138,Postcode,MK17 9AA
SAS00138,Technology Type,FTTC
SAS00139,Access Line ID,AL000139
SAS00139,Circuit ID,CIR000139
SAS00139,Postcode,MK15 6AA
SAS00139,Technology Type,Copper
SAS00140,Access Line ID,AL000140
SAS00140,Circuit ID,CIR000140
SAS00140,Postcode,MK5 6AA
SAS00140,Technology Type,FTTP
SAS00141,Access Line ID,AL000141
SAS00141,Circuit ID,CIR000141
SAS00141,Postcode,MK3 2AA
SAS00141,Technology Type,FTTP
SAS00142,Access Line ID,AL000142
SAS00142,Circuit ID,CIR000142
SAS00142,Postcode,MK11 8AA
SAS00142,Technology Type,Copper
SAS00143,Access Line ID,AL000143
SAS00143,Circuit ID,CIR000143
SAS00143,Postcode,MK16 2AA
SAS00143,Technology Type,FTTC
SAS00144,Access Line ID,AL000144
SAS00144,Circuit ID,CIR000144
SAS00144,Postcode,MK3 5AA
SAS00144,Technology Type,Copper
SAS00145,Access Line ID,AL000145
SAS00145,Circuit ID,CIR000145
SAS00145,Postcode,MK4 3AA
SAS00145,Technology Type,Copper
SAS00146,Access Line ID,AL000146
SAS00146,Circuit ID,CIR000146
SAS00146,Postcode,MK18 3AA
SAS00146,Technology Type,Copper
SAS00147,Access Line ID,AL000147
SAS00147,Circuit ID,CIR000147
SAS00147,Postcode,MK8 7AA
SAS00147,Technology Type,Copper
SAS00148,Access Line ID,AL000148
SAS00148,Circuit ID,CIR000148
SAS00148,Postcode,MK13 1AA
SAS00148,Technology Type,FTTC
SAS00149,Access Line ID,AL000149
SAS00149,Circuit ID,CIR000149
SAS00149,Postcode,MK19 7AA
SAS00149,Technology Type,Copper
SAS00150,Access Line ID,AL000150
SAS00150,Circuit ID,CIR000150
SAS00150,Postcode,MK9 2AA
SAS00150,Technology Type,FTTC
SAS00151,Access Line ID,AL000151
SAS00151,Circuit ID,CIR000151
SAS00151,Postcode,MK6 6AA
SAS00151,Technology Type,FTTC
SAS00152,Access Line ID,AL000152
SAS00152,Circuit ID,CIR000152
SAS00152,Postcode,MK16 9AA
SAS00152,Technology Type,FTTC
SAS00153,Access Line ID,AL000153
SAS00153,Circuit ID,CIR000153
SAS00153,Postcode,MK20 7AA
SAS00153,Technology Type,Copper
SAS00154,Access Line ID,AL000154
SAS00154,Circuit ID,CIR000154
SAS00154,Postcode,MK20 3AA
SAS00154,Technology Type,FTTC
SAS00155,Access Line ID,AL000155
SAS00155,Circuit ID,CIR000155
SAS00155,Postcode,MK20 2AA
SAS00155,Technology Type,Copper
SAS00156,Access Line ID,AL000156
SAS00156,Circuit ID,CIR000156
SAS00156,Postcode,MK10 2AA
SAS00156,Technology Type,FTTC
SAS00157,Access Line ID,AL000157
SAS00157,Circuit ID,CIR000157
SAS00157,Postcode,MK13 7AA
SAS00157,Technology Type,FTTP
SAS00158,Access Line ID,AL000158
SAS00158,Circuit ID,CIR000158
SAS00158,Postcode,MK6 8AA
SAS00158,Technology Type,FTTC
SAS00159,Access Line ID,AL000159
SAS00159,Circuit ID,CIR000159
SAS00159,Postcode,MK18 3AA
SAS00159,Technology Type,Copper
SAS00160,Access Line ID,AL000160
SAS00160,Circuit ID,CIR000160
SAS00160,Postcode,MK15 1AA
SAS00160,Technology Type,FTTP
SAS00161,Access Line ID,AL000161
SAS00161,Circuit ID,CIR000161
SAS00161,Postcode,MK5 4AA
SAS00161,Technology Type,FTTP
SAS00162,Access Line ID,AL000162
SAS00162,Circuit ID,CIR000162
SAS00162,Postcode,MK16 7AA
SAS00162,Technology Type,FTTP
SAS00163,Access Line ID,AL000163
SAS00163,Circuit ID,CIR000163
SAS00163,Postcode,MK16 3AA
SAS00163,Technology Type,FTTP
SAS00164,Access Line ID,AL000164
SAS00164,Circuit ID,CIR000164
SAS00164,Postcode,MK10 1AA
SAS00164,Technology Type,Copper
SAS00165,Access Line ID,AL000165
SAS00165,Circuit ID,CIR000165
SAS00165,Postcode,MK15 8AA
SAS00165,Technology Type,FTTC
SAS00166,Access Line ID,AL000166
SAS00166,Circuit ID,CIR000166
SAS00166,Postcode,MK9 9AA
SAS00166,Technology Type,Copper
SAS00167,Access Line ID,AL000167
SAS00167,Circuit ID,CIR000167
SAS00167,Postcode,MK15 9AA
SAS00167,Technology Type,FTTP
SAS00168,Access Line ID,AL000168
SAS00168,Circuit ID,CIR000168
SAS00168,Postcode,MK10 1AA
SAS00168,Technology Type,FTTP
SAS00169,Access Line ID,AL000169
SAS00169,Circuit ID,CIR000169
SAS00169,Postcode,MK15 2AA
SAS00169,Technology Type,FTTP
SAS00170,Access Line ID,AL000170
SAS00170,Circuit ID,CIR000170
SAS00170,Postcode,MK20 7AA
SAS00170,Technology Type,FTTC
SAS00171,Access Line ID,AL000171
SAS00171,Circuit ID,CIR000171
SAS00171,Postcode,MK7 1AA
SAS00171,Technology Type,Copper
SAS00172,Access Line ID,AL000172
SAS00172,Circuit ID,CIR000172
SAS00172,Postcode,MK11 5AA
SAS00172,Technology Type,FTTP
SAS00173,Access Line ID,AL000173
SAS00173,Circuit ID,CIR000173
SAS00173,Postcode,MK4 3AA
SAS00173,Technology Type,Copper
SAS00174,Access Line ID,AL000174
SAS00174,Circuit ID,CIR000174
SAS00174,Postcode,MK5 3AA
SAS00174,Technology Type,FTTP
SAS00175,Access Line ID,AL000175
SAS00175,Circuit ID,CIR000175
SAS00175,Postcode,MK13 8AA
SAS00175,Technology Type,FTTC
SAS00176,Access Line ID,AL000176
SAS00176,Circuit ID,CIR000176
SAS00176,Postcode,MK13 8AA
SAS00176,Technology Type,Copper
SAS00177,Access Line ID,AL000177
SAS00177,Circuit ID,CIR000177
SAS00177,Postcode,MK13 9AA
SAS00177,Technology Type,Copper
SAS00178,Access Line ID,AL000178
SAS00178,Circuit ID,CIR000178
SAS00178,Postcode,MK15 8AA
SAS00178,Technology Type,FTTP
SAS00179,Access Line ID,AL000179
SAS00179,Circuit ID,CIR000179
SAS00179,Postcode,MK15 6AA
SAS00179,Technology Type,Copper
SAS00180,Access Line ID,AL000180
SAS00180,Circuit ID,CIR000180
SAS00180,Postcode,MK7 7AA
SAS00180,Technology Type,FTTC
SAS00181,Access Line ID,AL000181
SAS00181,Circuit ID,CIR000181
SAS00181,Postcode,MK10 6AA
SAS00181,Technology Type,FTTC
SAS00182,Access Line ID,AL000182
SAS00182,Circuit ID,CIR000182
SAS00182,Postcode,MK11 1AA
SAS00182,Technology Type,Copper
SAS00183,Access Line ID,AL000183
SAS00183,Circuit ID,CIR000183
SAS00183,Postcode,MK1 2AA
SAS00183,Technology Type,FTTC
SAS00184,Access Line ID,AL000184
SAS00184,Circuit ID,CIR000184
SAS00184,Postcode,MK14 4AA
SAS00184,Technology Type,FTTC
SAS00185,Access Line ID,AL000185
SAS00185,Circuit ID,CIR000185
SAS00185,Postcode,MK6 5AA
SAS00185,Technology Type,FTTC
SAS00186,Access Line ID,AL000186
SAS00186,Circuit ID,CIR000186
SAS00186,Postcode,MK12 3AA
SAS00186,Technology Type,Copper
SAS00187,Access Line ID,AL000187
SAS00187,Circuit ID,CIR000187
SAS00187,Postcode,MK14 2AA
SAS00187,Technology Type,FTTP
SAS00188,Access Line ID,AL000188
SAS00188,Circuit ID,CIR000188
SAS00188,Postcode,MK3 3AA
SAS00188,Technology Type,FTTC
SAS00189,Access Line ID,AL000189
SAS00189,Circuit ID,CIR000189
SAS00189,Postcode,MK1 1AA
SAS00189,Technology Type,FTTC
SAS00190,Access Line ID,AL000190
SAS00190,Circuit ID,CIR000190
SAS00190,Postcode,MK5 8AA
SAS00190,Technology Type,FTTP
SAS00191,Access Line ID,AL000191
SAS00191,Circuit ID,CIR000191
SAS00191,Postcode,MK4 6AA
SAS00191,Technology Type,FTTC
SAS00192,Access Line ID,AL000192
SAS00192,Circuit ID,CIR000192
SAS00192,Postcode,MK5 2AA
SAS00192,Technology Type,FTTP
SAS00193,Access Line ID,AL000193
