account_id,customer_name,account_status,segment
SA00266,Customer 00266,Active,SME
SA00267,Customer 00267,Active,Consumer
SA00268,Customer 00268,Active,SME
SA00269,Customer 00269,Active,Enterprise
SA00270,Customer 00270,Active,Consumer
SA00271,Customer 00271,Active,Consumer
SA00272,Customer 00272,Active,Consumer
SA00273,Customer 00273,Active,SME
SA00274,Customer 00274,Active,Consumer
SA00275,Customer 00275,Active,Consumer
SA00276,Customer 00276,Active,Consumer
SA00277,Customer 00277,Active,Consumer
SA00278,Customer 00278,Active,SME
SA00279,Customer 00279,Active,SME
SA00280,Customer 00280,Active,SME
SA00281,Customer 00281,Active,Enterprise
SA00282,Customer 00282,Inactive,Consumer
SA00283,Customer 00283,Active,Enterprise
SA00284,Customer 00284,Active,Consumer
SA00285,Customer 00285,Inactive,SME
SA00286,Customer 00286,Active,SME
SA00287,Customer 00287,Active,Enterprise
SA00288,Customer 00288,Active,Enterprise
SA00289,Customer 00289,Active,SME
SA00290,Customer 00290,Active,SME
SA00291,Customer 00291,Active,SME
SA00292,Customer 00292,Active,Enterprise
SA00293,Customer 00293,Active,Enterprise
SA00294,Customer 00294,Active,SME
SA00295,Customer 00295,Inactive,Enterprise
SA00296,Customer 00296,Active,SME
SA00297,Customer 00297,Active,Enterprise
SA00298,Customer 00298,Active,Enterprise
SA00299,Customer 00299,Active,SME
SA00300,Customer 00300,Active,SME
SA00301,Customer 00301,Active,Consumer
SA00302,Customer 00302,Active,SME
SA00303,Customer 00303,Active,SME
SA00304,Customer 00304,Active,SME
SA00305,Customer 00305,Active,Consumer
SA00306,Customer 00306,Active,Enterprise
SA00307,Customer 00307,Active,SME
SA00308,Customer 00308,Active,Consumer
SA00309,Customer 00309,Active,Enterprise
SA00310,Customer 00310,Active,Consumer
SA00311,Customer 00311,Inactive,Consumer
SA00312,Customer 00312,Active,Enterprise
SA00313,Customer 00313,Active,Consumer
SA00314,Customer 00314,Active,Consumer
SA00315,Customer 00315,Active,Consumer
SA00316,Customer 00316,Active,SME
SA00317,Customer 00317,Active,Consumer
SA00318,Customer 00318,Active,Enterprise
SA00319,Customer 00319,Active,Consumer
SA00320,Customer 00320,Inactive,Consumer
SA00321,Customer 00321,Active,SME
SA00322,Customer 00322,Active,SME
SA00323,Customer 00323,Active,Enterprise
SA00324,Customer 00324,Active,Enterprise
SA00325,Customer 00325,Active,Enterprise
SA00326,Customer 00326,Active,Enterprise
SA00327,Customer 00327,Active,Enterprise
SA00328,Customer 00328,Active,Consumer
SA00329,Customer 00329,Active,Enterprise
SA00330,Customer 00330,Active,SME
SA00331,Customer 00331,Active,Enterprise
SA00332,Customer 00332,Active,Enterprise
SA00333,Customer 00333,Active,Consumer
SA00334,Customer 00334,Active,SME
SA00335,Customer 00335,Active,SME
SA00336,Customer 00336,Active,SME
SA00337,Customer 00337,Active,SME
SA00338,Customer 00338,Active,Enterprise
SA00339,Customer 00339,Inactive,SME
SA00340,Customer 00340,Active,Enterprise
SA00341,Customer 00341,Active,SME
SA00342,Customer 00342,Active,Enterprise
SA00343,Customer 00343,Active,SME
SA00344,Customer 00344,Active,Consumer
SA00345,Customer 00345,Active,SME
SA00346,Customer 00346,Active,SME
SA00347,Customer 00347,Active,Enterprise
SA00348,Customer 00348,Active,Consumer
SA00349,Customer 00349,Active,SME
SA00350,Customer 00350,Active,Consumer
SA00351,Customer 00351,Active,SME
SA00352,Customer 00352,Active,Enterprise
SA00353,Customer 00353,Active,SME
SA00354,Customer 00354,Active,Enterprise
SA00355,Customer 00355,Inactive,Consumer
SA00356,Customer 00356,Active,SME
SA00357,Customer 00357,Active,Consumer
SA00358,Customer 00358,Active,Enterprise
SA00359,Customer 00359,Active,SME
SA00360,Customer 00360,Active,Consumer
SA00361,Customer 00361,Active,SME
SA00362,Customer 00362,Active,SME
SA00363,Customer 00363,Active,SME
SA00364,Customer 00364,Active,Enterprise
SA00365,Customer 00365,Active,Enterprise
SA00366,Customer 00366,Active,SME
SA00367,Customer 00367,Active,SME
SA00368,Customer 00368,Active,Consumer
SA00369,Customer 00369,Active,Consumer
SA00370,Customer 00370,Active,Enterprise
SA00371,Customer 00371,Active,Enterprise
SA00372,Customer 00372,Active,Consumer
SA00373,Customer 00373,Active,SME
SA00374,Customer 00374,Active,Enterprise
SA00375,Customer 00375,Active,Consumer
SA00376,Customer 00376,Active,SME
SA00377,Customer 00377,Active,Consumer
SA00378,Customer 00378,Active,Enterprise
SA00379,Customer 00379,Active,SME
SA00380,Customer 00380,Active,Consumer
SA00381,Customer 00381,Active,Enterprise
SA00382,Customer 00382,Inactive,Enterprise
SA00383,Customer 00383,Active,SME
SA00384,Customer 00384,Active,Consumer
SA00385,Customer 00385,Active,SME
SA00386,Customer 00386,Active,SME
SA00387,Customer 00387,Active,Consumer
SA00388,Customer 00388,Active,SME
SA00389,Customer 00389,Active,Consumer
SA00390,Customer 00390,Active,Consumer
SA00391,Customer 00391,Active,Enterprise
SA00392,Customer 00392,Active,Consumer
SA00393,Customer 00393,Active,SME
SA00394,Customer 00394,Active,Consumer
SA00395,Customer 00395,Active,SME
SA00396,Customer 00396,Active,Enterprise
SA00397,Customer 00397,Active,Enterprise
SA00398,Customer 00398,Active,SME
SA00399,Customer 00399,Active,Enterprise
SA00400,Customer 00400,Inactive,SME
SA00401,Customer 00401,Active,Consumer
SA00402,Customer 00402,Active,Enterprise
SA00403,Customer 00403,Active,Consumer
SA00404,Customer 00404,Active,SME
SA00405,Customer 00405,Active,Consumer
SA00406,Customer 00406,Active,Enterprise
SA00407,Customer 00407,Active,Consumer
SA00408,Customer 00408,Active,Enterprise
SA00409,Customer 00409,Active,SME
SA00410,Customer 00410,Active,SME
SA00411,Customer 00411,Active,Enterprise
SA00412,Customer 00412,Active,Consumer
SA00413,Customer 00413,Active,SME
SA00414,Customer 00414,Active,Enterprise
SA00415,Customer 00415,Active,Consumer
SA00416,Customer 00416,Active,Enterprise
SA00417,Customer 00417,Active,Consumer
SA00418,Customer 00418,Inactive,Consumer
SA00419,Customer 00419,Active,Consumer
SA00420,Customer 00420,Active,Enterprise
SA00421,Customer 00421,Active,Enterprise
SA00422,Customer 00422,Inactive,SME
SA00423,Customer 00423,Active,Enterprise
SA00424,Customer 00424,Active,SME
SA00425,Customer 00425,Inactive,Enterprise
SA00426,Customer 00426,Active,SME
SA00427,Customer 00427,Active,Consumer
SA00428,Customer 00428,Active,Enterprise
SA00429,Customer 00429,Active,SME
SA00430,Customer 00430,Active,Consumer
SA00431,Customer 00431,Inactive,Enterprise
SA00432,Customer 00432,Active,Consumer
SA00433,Customer 00433,Inactive,Enterprise
SA00434,Customer 00434,Active,Enterprise
SA00435,Customer 00435,Active,Consumer
SA00436,Customer 00436,Active,Enterprise
SA00437,Customer 00437,Active,SME
SA00438,Customer 00438,Active,Enterprise
SA00439,Customer 00439,Active,SME
SA00440,Customer 00440,Inactive,SME
SA00441,Customer 00441,Active,SME
SA00442,Customer 00442,Active,Consumer
SA00443,Customer 00443,Active,SME
SA00444,Customer 00444,Active,SME
SA00445,Customer 00445,Active,SME
SA00446,Customer 00446,Active,Enterprise
SA00447,Customer 00447,Active,Consumer
SA00448,Customer 00448,Active,SME
SA00449,Customer 00449,Active,SME
SA00450,Customer 00450,Active,Consumer
SA00451,Customer 00451,Active,Enterprise
SA00452,Customer 00452,Active,Consumer
SA00453,Customer 00453,Active,SME
SA00454,Customer 00454,Active,SME
SA00455,Customer 00455,Active,Consumer
SA00456,Customer 00456,Active,Enterprise
SA00457,Customer 00457,Active,SME
SA00458,Customer 00458,Active,Enterprise
SA00459,Customer 00459,Active,Consumer
SA00460,Customer 00460,Inactive,Enterprise
SA00461,Customer 00461,Active,Enterprise
SA00462,Customer 00462,Active,Enterprise
SA00463,Customer 00463,Active,SME
SA00464,Customer 00464,Active,Consumer
SA00465,Customer 00465,Active,Consumer
SA00466,Customer 00466,Active,Consumer
SA00467,Customer 00467,Active,Enterprise
SA00468,Customer 00468,Active,Enterprise
SA00469,Customer 00469,Active,SME
SA00470,Customer 00470,Inactive,Consumer
SA00471,Customer 00471,Active,Consumer
SA00472,Customer 00472,Active,Enterprise
SA00473,Customer 00473,Active,Consumer
SA00474,Customer 00474,Active,SME
SA00475,Customer 00475,Active,SME
SA00476,Customer 00476,Active,Enterprise
SA00477,Customer 00477,Active,Consumer
SA00478,Customer 00478,Active,SME
SA00479,Customer 00479,Active,Enterprise
SA00480,Customer 00480,Inactive,SME
SA00481,Customer 00481,Active,SME
SA00482,Customer 00482,Active,SME
SA00483,Customer 00483,Active,Enterprise
SA00484,Customer 00484,Active,SME
SA00485,Customer 00485,Active,Enterprise
SA00486,Customer 00486,Active,SME
SA00487,Customer 00487,Active,SME
SA00488,Customer 00488,Active,Enterprise
SA00489,Customer 00489,Active,SME
SA00490,Customer 00490,Active,Enterprise
SA00491,Customer 00491,Active,Enterprise
SA00492,Customer 00492,Inactive,SME
SA00493,Customer 00493,Inactive,Consumer
SA00494,Customer 00494,Active,Enterprise
SA00495,Customer 00495,Active,Consumer
SA00496,Customer 00496,Active,SME
SA00497,Customer 00497,Active,SME
SA00498,Customer 00498,Active,Consumer
SA00499,Customer 00499,Active,Enterprise
SA00500,Customer 00500,Inactive,Consumer
SA00501,Customer 00501,Active,SME
SA00502,Customer 00502,Active,Enterprise
SA00503,Customer 00503,Active,Consumer
SA00504,Customer 00504,Active,Enterprise
SA00505,Customer 00505,Active,SME
SA00506,Customer 00506,Inactive,Enterprise
SA00507,Customer 00507,Active,SME
SA00508,Customer 00508,Active,Consumer
SA00509,Customer 00509,Active,Consumer
SA00510,Customer 00510,Active,SME
SA00511,Customer 00511,Inactive,Enterprise
SA00512,Customer 00512,Active,Consumer
SA00513,Customer 00513,Active,Enterprise
SA00514,Customer 00514,Active,SME
SA00515,Customer 00515,Active,SME
SA00516,Customer 00516,Inactive,Consumer
SA00517,Customer 00517,Active,Consumer
SA00518,Customer 00518,Active,SME
SA00519,Customer 00519,Active,Consumer
SA00520,Customer 00520,Active,Enterprise
SA00521,Customer 00521,Active,Consumer
SA00522,Customer 00522,Active,Consumer
SA00523,Customer 00523,Active,SME
SA00524,Customer 00524,Active,Consumer
SA00525,Customer 00525,Active,Enterprise
SA00526,Customer 00526,Active,SME
SA00527,Customer 00527,Active,SME
SA00528,Customer 00528,Active,Consumer
SA00529,Customer 00529,Active,SME
SA00530,Customer 00530,Inactive,Enterprise
SA00531,Customer 00531,Active,Consumer
SA00532,Customer 00532,Active,SME
SA00533,Customer 00533,Inactive,SME
SA00534,Customer 00534,Active,SME
SA00535,Customer 00535,Active,SME
SA00536,Customer 00536,Active,Consumer
SA00537,Customer 00537,Inactive,SME
SA00538,Customer 00538,Active,SME
SA00539,Customer 00539,Active,Enterprise
SA00540,Customer 00540,Active,Enterprise
SA00541,Customer 00541,Active,Enterprise
SA00542,Customer 00542,Active,Consumer
SA00543,Customer 00543,Active,Enterprise
SA00544,Customer 00544,Active,Consumer
SA00545,Customer 00545,Inactive,Enterprise
SA00546,Customer 00546,Active,SME
SA00547,Customer 00547,Active,Consumer
SA00548,Customer 00548,Active,SME
SA00549,Customer 00549,Active,Consumer
SA00550,Customer 00550,Active,Enterprise
SA00551,Customer 00551,Active,Enterprise
SA00552,Customer 00552,Active,Consumer
SA00553,Customer 00553,Active,Enterprise
SA00554,Customer 00554,Active,SME
SA00555,Customer 00555,Active,Consumer
SA00556,Customer 00556,Active,Enterprise
SA00557,Customer 00557,Active,SME
SA00558,Customer 00558,Active,SME
SA00559,Customer 00559,Active,Consumer
SA00560,Customer 00560,Active,SME
SA00561,Customer 00561,Active,SME
SA00562,Customer 00562,Active,SME
SA00563,Customer 00563,Inactive,SME
SA00564,Customer 00564,Inactive,SME
SA00565,Customer 00565,Active,SME
SA00566,Customer 00566,Active,SME
SA00567,Customer 00567,Inactive,Consumer
SA00568,Customer 00568,Active,Consumer
SA00569,Customer 00569,Active,Enterprise
SA00570,Customer 00570,Active,SME
SA00571,Customer 00571,Inactive,Enterprise
SA00572,Customer 00572,Active,SME
SA00573,Customer 00573,Active,Enterprise
SA00574,Customer 00574,Active,SME
SA00575,Customer 00575,Active,Enterprise
SA00576,Customer 00576,Active,SME
SA00577,Customer 00577,Active,SME
SA00578,Customer 00578,Active,Consumer
SA00579,Customer 00579,Active,Enterprise
SA00580,Customer 00580,Active,Enterprise
SA00581,Customer 00581,Active,Enterprise
SA00582,Customer 00582,Active,Consumer
SA00583,Customer 00583,Active,SME
SA00584,Customer 00584,Inactive,SME
SA00585,Customer 00585,Active,Consumer
SA00586,Customer 00586,Active,Consumer
SA00587,Customer 00587,Active,SME
SA00588,Customer 00588,Active,Consumer
SA00589,Customer 00589,Active,Consumer
SA00590,Customer 00590,Active,SME
SA00591,Customer 00591,Active,Enterprise
SA00592,Customer 00592,Active,Enterprise
SA00593,Customer 00593,Active,Enterprise
SA00594,Customer 00594,Active,SME
SA00595,Customer 00595,Active,SME
SA00596,Customer 00596,Active,SME
SA00597,Customer 00597,Active,SME
SA00598,Customer 00598,Active,SME
SA00599,Customer 00599,Inactive,SME
SA00600,Customer 00600,Active,Enterprise
SA00601,Customer 00601,Active,Enterprise
SA00602,Customer 00602,Active,SME
SA00603,Customer 00603,Active,Consumer
SA00604,Customer 00604,Inactive,SME
SA00605,Customer 00605,Active,Consumer
SA00606,Customer 00606,Active,Enterprise
SA00607,Customer 00607,Inactive,Consumer
SA00608,Customer 00608,Active,Consumer
SA00609,Customer 00609,Inactive,Enterprise
SA00610,Customer 00610,Active,Enterprise
SA00611,Customer 00611,Active,Consumer
SA00612,Customer 00612,Active,Consumer
SA00613,Customer 00613,Active,Consumer
SA00614,Customer 00614,Active,Enterprise
SA00615,Customer 00615,Active,Consumer
SA00616,Customer 00616,Inactive,Enterprise
SA00617,Customer 00617,Active,Consumer
SA00618,Customer 00618,Active,Consumer
SA00619,Customer 00619,Active,SME
SA00620,Customer 00620,Active,Consumer
SA00621,Customer 00621,Active,Consumer
SA00622,Customer 00622,Active,Consumer
SA00623,Customer 00623,Active,SME
SA00624,Customer 00624,Active,Enterprise
SA00625,Customer 00625,Active,SME
SA00626,Customer 00626,Active,Enterprise
SA00627,Customer 00627,Active,SME
SA00628,Customer 00628,Active,Enterprise
SA00629,Customer 00629,Active,Enterprise
SA00630,Customer 00630,Active,SME
SA00631,Customer 00631,Active,Consumer
SA00632,Customer 00632,Active,SME
SA00633,Customer 00633,Active,SME
SA00634,Customer 00634,Active,SME
SA00635,Customer 00635,Active,SME
SA00636,Customer 00636,Active,Consumer
SA00637,Customer 00637,Active,Consumer
SA00638,Customer 00638,Active,SME
SA00639,Customer 00639,Active,Enterprise
SA00640,Customer 00640,Active,SME
SA00641,Customer 00641,Active,Enterprise
SA00642,Customer 00642,Active,SME
SA00643,Customer 00643,Active,SME
SA00644,Customer 00644,Active,Enterprise
SA00645,Customer 00645,Active,Enterprise
SA00646,Customer 00646,Active,Enterprise
SA00647,Customer 00647,Active,Consumer
SA00648,Customer 00648,Active,Consumer
SA00649,Customer 00649,Active,SME
SA00650,Customer 00650,Active,Enterprise
SA00651,Customer 00651,Active,SME
SA00652,Customer 00652,Active,SME
SA00653,Customer 00653,Active,Consumer
SA00654,Customer 00654,Active,SME
SA00655,Customer 00655,Active,Consumer
SA00656,Customer 00656,Active,Consumer
SA00657,Customer 00657,Active,SME
SA00658,Customer 00658,Active,Enterprise
SA00659,Customer 00659,Active,Enterprise
SA00660,Customer 00660,Active,Enterprise
SA00661,Customer 00661,Active,SME
SA00662,Customer 00662,Active,SME
SA00663,Customer 00663,Active,Enterprise
SA00664,Customer 00664,Active,SME
SA00665,Customer 00665,Active,SME
SA00666,Customer 00666,Active,Enterprise
SA00667,Customer 00667,Active,Enterprise
SA00668,Customer 00668,Active,Consumer
SA00669,Customer 00669,Active,Enterprise
SA00670,Customer 00670,Active,SME
SA00671,Customer 00671,Active,SME
SA00672,Customer 00672,Active,Enterprise
SA00673,Customer 00673,Active,Enterprise
SA00674,Customer 00674,Active,Enterprise
SA00675,Customer 00675,Inactive,Enterprise
SA00676,Customer 00676,Active,Consumer
SA00677,Customer 00677,Active,SME
SA00678,Customer 00678,Inactive,SME
SA00679,Customer 00679,Active,Consumer
SA00680,Customer 00680,Active,SME
SA00681,Customer 00681,Active,Enterprise
SA00682,Customer 00682,Active,Consumer
SA00683,Customer 00683,Active,Enterprise
SA00684,Customer 00684,Active,SME
SA00685,Customer 00685,Active,Consumer
SA00686,Customer 00686,Active,Enterprise
SA00687,Customer 00687,Active,Enterprise
SA00688,Customer 00688,Active,Consumer
SA00689,Customer 00689,Active,Enterprise
SA00690,Customer 00690,Active,Consumer
SA00691,Customer 00691,Active,Enterprise
SA00692,Customer 00692,Active,Enterprise
SA00693,Customer 00693,Active,SME
SA00694,Customer 00694,Active,Enterprise
SA00695,Customer 00695,Active,SME
SA00696,Customer 00696,Active,Enterprise
SA00697,Customer 00697,Active,SME
SA00698,Customer 00698,Active,SME
SA00699,Customer 00699,Active,SME
SA00700,Customer 00700,Inactive,Consumer
SA00701,Customer 00701,Active,SME
SA00702,Customer 00702,Inactive,Consumer
SA00703,Customer 00703,Active,SME
SA00704,Customer 00704,Active,Consumer
SA00705,Customer 00705,Active,SME
