billing_account_id,customer_name,billing_account_status,segment
BA00131,Customer 00131,Active,Enterprise
BA00132,Customer 00132,Active,SME
BA00133,Customer 00133,Active,Consumer
BA00134,Customer 00134,Inactive,SME
BA00135,Customer 00135,Active,Consumer
BA00136,Customer 00136,Active,SME
BA00137,Customer 00137,Active,Enterprise
BA00138,Customer 00138,Active,Enterprise
BA00139,Customer 00139,Active,Consumer
BA00140,Customer 00140,Inactive,Enterprise
BA00141,Customer 00141,Active,SME
BA00142,Customer 00142,Active,SME
BA00143,Customer 00143,Active,Enterprise
BA00144,Customer 00144,Active,SME
BA00145,Customer 00145,Active,Consumer
BA00146,Customer 00146,Active,Consumer
BA00147,Customer 00147,Active,Enterprise
BA00148,Customer 00148,Active,Consumer
BA00149,Customer 00149,Active,Consumer
BA00150,Customer 00150,Active,Enterprise
BA00151,Customer 00151,Active,Enterprise
BA00152,Customer 00152,Active,Enterprise
BA00153,Customer 00153,Active,SME
BA00154,Customer 00154,Active,Consumer
BA00155,Customer 00155,Active,Consumer
BA00156,Customer 00156,Active,Enterprise
BA00157,Customer 00157,Active,Enterprise
BA00158,Customer 00158,Active,Enterprise
BA00159,Customer 00159,Active,SME
BA00160,Customer 00160,Active,Consumer
BA00161,Customer 00161,Active,SME
BA00162,Customer 00162,Active,Enterprise
BA00163,Customer 00163,Inactive,Enterprise
BA00164,Customer 00164,Active,SME
BA00165,Customer 00165,Active,Enterprise
BA00166,Customer 00166,Active,Enterprise
BA00167,Customer 00167,Inactive,Enterprise
BA00168,Customer 00168,Active,SME
BA00169,Customer 00169,Active,Consumer
BA00170,Customer 00170,Active,Consumer
BA00171,Customer 00171,Active,Enterprise
BA00172,Customer 00172,Inactive,Consumer
BA00173,Customer 00173,Active,Enterprise
BA00174,Customer 00174,Active,Consumer
BA00175,Customer 00175,Active,Enterprise
BA00176,Customer 00176,Active,Enterprise
BA00177,Customer 00177,Active,SME
BA00178,Customer 00178,Active,Consumer
BA00179,Customer 00179,Active,Consumer
BA00180,Customer 00180,Active,Consumer
BA00181,Customer 00181,Active,SME
BA00182,Customer 00182,Inactive,SME
BA00183,Customer 00183,Active,SME
BA00184,Customer 00184,Active,Consumer
BA00185,Customer 00185,Active,SME
BA00186,Customer 00186,Active,Consumer
BA00187,Customer 00187,Active,Enterprise
BA00188,Customer 00188,Active,SME
BA00189,Customer 00189,Active,Enterprise
BA00190,Customer 00190,Active,Enterprise
BA00191,Customer 00191,Active,SME
BA00192,Customer 00192,Active,SME
BA00193,Customer 00193,Active,Enterprise
BA00194,Customer 00194,Active,Enterprise
BA00195,Customer 00195,Inactive,SME
BA00196,Customer 00196,Active,Consumer
BA00197,Customer 00197,Active,SME
BA00198,Customer 00198,Active,Enterprise
BA00199,Customer 00199,Active,Enterprise
BA00200,Customer 00200,Active,SME
BA00201,Customer 00201,Active,Enterprise
BA00202,Customer 00202,Inactive,SME
BA00203,Customer 00203,Active,SME
BA00204,Customer 00204,Active,SME
BA00205,Customer 00205,Active,SME
BA00206,Customer 00206,Active,Consumer
BA00207,Customer 00207,Active,Enterprise
BA00208,Customer 00208,Inactive,SME
BA00209,Customer 00209,Inactive,Enterprise
BA00210,Customer 00210,Active,Consumer
BA00211,Customer 00211,Inactive,Enterprise
BA00212,Customer 00212,Active,SME
BA00213,Customer 00213,Active,Enterprise
BA00214,Customer 00214,Active,SME
BA00215,Customer 00215,Active,Consumer
BA00216,Customer 00216,Active,SME
BA00217,Customer 00217,Active,Consumer
BA00218,Customer 00218,Active,Consumer
BA00219,Customer 00219,Active,Consumer
BA00220,Customer 00220,Active,Consumer
BA00221,Customer 00221,Active,SME
BA00222,Customer 00222,Active,Consumer
BA00223,Customer 00223,Active,Consumer
BA00224,Customer 00224,Active,SME
BA00225,Customer 00225,Active,Consumer
BA00226,Customer 00226,Active,Enterprise
BA00227,Customer 00227,Active,Consumer
BA00228,Customer 00228,Active,Consumer
BA00229,Customer 00229,Active,Consumer
BA00230,Customer 00230,Active,SME
BA00231,Customer 00231,Active,SME
BA00232,Customer 00232,Active,Consumer
BA00233,Customer 00233,Active,Enterprise
BA00234,Customer 00234,Active,Consumer
BA00235,Customer 00235,Active,Enterprise
BA00236,Customer 00236,Active,Consumer
BA00237,Customer 00237,Active,SME
BA00238,Customer 00238,Active,Consumer
BA00239,Customer 00239,Inactive,Enterprise
BA00240,Customer 00240,Active,Consumer
BA00241,Customer 00241,Active,Consumer
BA00242,Customer 00242,Active,Consumer
BA00243,Customer 00243,Active,Consumer
BA00244,Customer 00244,Inactive,Consumer
BA00245,Customer 00245,Active,Enterprise
BA00246,Customer 00246,Active,Enterprise
BA00247,Customer 00247,Active,Consumer
BA00248,Customer 00248,Active,SME
BA00249,Customer 00249,Active,Consumer
BA00250,Customer 00250,Active,Consumer
BA00251,Customer 00251,Active,SME
BA00252,Customer 00252,Active,Consumer
BA00253,Customer 00253,Active,SME
BA00254,Customer 00254,Active,Enterprise
BA00255,Customer 00255,Active,SME
BA00256,Customer 00256,Active,SME
BA00257,Customer 00257,Active,Enterprise
BA00258,Customer 00258,Active,Enterprise
BA00259,Customer 00259,Active,Consumer
BA00260,Customer 00260,Active,SME
BA00261,Customer 00261,Active,SME
BA00262,Customer 00262,Inactive,Enterprise
BA00263,Customer 00263,Active,SME
BA00264,Customer 00264,Inactive,SME
BA00265,Customer 00265,Active,Consumer
BA00266,Customer 00266,Active,Enterprise
BA00267,Customer 00267,Inactive,Consumer
BA00268,Customer 00268,Active,SME
BA00269,Customer 00269,Inactive,Consumer
BA00270,Customer 00270,Active,SME
BA00271,Customer 00271,Active,Enterprise
BA00272,Customer 00272,Inactive,Consumer
BA00273,Customer 00273,Inactive,Consumer
BA00274,Customer 00274,Inactive,Enterprise
BA00275,Customer 00275,Active,Enterprise
BA00276,Customer 00276,Inactive,SME
BA00277,Customer 00277,Active,Enterprise
BA00278,Customer 00278,Active,SME
BA00279,Customer 00279,Active,SME
BA00280,Customer 00280,Inactive,Consumer
BA00281,Customer 00281,Active,Enterprise
BA00282,Customer 00282,Active,Consumer
BA00283,Customer 00283,Active,SME
BA00284,Customer 00284,Active,Enterprise
BA00285,Customer 00285,Active,Enterprise
BA00286,Customer 00286,Active,Enterprise
BA00287,Customer 00287,Active,Enterprise
BA00288,Customer 00288,Active,Consumer
BA00289,Customer 00289,Inactive,Consumer
BA00290,Customer 00290,Active,SME
BA00291,Customer 00291,Active,Enterprise
BA00292,Customer 00292,Active,Consumer
BA00293,Customer 00293,Active,Enterprise
BA00294,Customer 00294,Active,Consumer
BA00295,Customer 00295,Active,SME
BA00296,Customer 00296,Active,Enterprise
BA00297,Customer 00297,Active,Consumer
BA00298,Customer 00298,Inactive,Enterprise
BA00299,Customer 00299,Active,Consumer
BA00300,Customer 00300,Active,SME
BA00301,Customer 00301,Active,Enterprise
BA00302,Customer 00302,Active,Consumer
BA00303,Customer 00303,Active,SME
BA00304,Customer 00304,Active,SME
BA00305,Customer 00305,Active,Enterprise
BA00306,Customer 00306,Inactive,SME
BA00307,Customer 00307,Active,Enterprise
BA00308,Customer 00308,Active,SME
BA00309,Customer 00309,Inactive,Enterprise
BA00310,Customer 00310,Inactive,Enterprise
BA00311,Customer 00311,Active,Enterprise
BA00312,Customer 00312,Active,Enterprise
BA00313,Customer 00313,Active,SME
BA00314,Customer 00314,Active,Enterprise
BA00315,Customer 00315,Active,Consumer
BA00316,Customer 00316,Active,Enterprise
BA00317,Customer 00317,Active,Consumer
BA00318,Customer 00318,Active,Enterprise
BA00319,Customer 00319,Active,SME
BA00320,Customer 00320,Active,Consumer
BA00321,Customer 00321,Active,SME
BA00322,Customer 00322,Active,Consumer
BA00323,Customer 00323,Active,Consumer
BA00324,Customer 00324,Active,SME
BA00325,Customer 00325,Active,Enterprise
BA00326,Customer 00326,Active,Enterprise
BA00327,Customer 00327,Active,SME
BA00328,Customer 00328,Active,Enterprise
BA00329,Customer 00329,Active,SME
BA00330,Customer 00330,Inactive,Enterprise
BA00331,Customer 00331,Inactive,SME
BA00332,Customer 00332,Active,SME
BA00333,Customer 00333,Active,Consumer
BA00334,Customer 00334,Active,SME
BA00335,Customer 00335,Active,Consumer
BA00336,Customer 00336,Inactive,Enterprise
BA00337,Customer 00337,Active,Consumer
BA00338,Customer 00338,Active,SME
BA00339,Customer 00339,Active,Enterprise
BA00340,Customer 00340,Active,Enterprise
BA00341,Customer 00341,Active,Consumer
BA00342,Customer 00342,Active,SME
BA00343,Customer 00343,Active,SME
BA00344,Customer 00344,Active,Consumer
BA00345,Customer 00345,Active,Consumer
BA00346,Customer 00346,Active,SME
BA00347,Customer 00347,Active,SME
BA00348,Customer 00348,Active,Consumer
BA00349,Customer 00349,Active,Enterprise
BA00350,Customer 00350,Active,SME
BA00351,Customer 00351,Inactive,Consumer
BA00352,Customer 00352,Active,Enterprise
BA00353,Customer 00353,Active,Consumer
BA00354,Customer 00354,Active,Consumer
BA00355,Customer 00355,Active,SME
BA00356,Customer 00356,Active,SME
BA00357,Customer 00357,Active,SME
BA00358,Customer 00358,Active,SME
BA00359,Customer 00359,Active,Enterprise
BA00360,Customer 00360,Active,Consumer
BA00361,Customer 00361,Active,SME
BA00362,Customer 00362,Active,Enterprise
BA00363,Customer 00363,Active,Enterprise
BA00364,Customer 00364,Active,Enterprise
BA00365,Customer 00365,Active,SME
BA00366,Customer 00366,Active,SME
BA00367,Customer 00367,Active,Consumer
BA00368,Customer 00368,Inactive,SME
BA00369,Customer 00369,Active,Enterprise
BA00370,Customer 00370,Active,Consumer
BA00371,Customer 00371,Active,Enterprise
BA00372,Customer 00372,Active,Enterprise
BA00373,Customer 00373,Active,Enterprise
BA00374,Customer 00374,Active,Enterprise
BA00375,Customer 00375,Active,Enterprise
BA00376,Customer 00376,Active,Consumer
BA00377,Customer 00377,Inactive,Enterprise
BA00378,Customer 00378,Active,SME
BA00379,Customer 00379,Active,Consumer
BA00380,Customer 00380,Active,Enterprise
BA00381,Customer 00381,Active,Consumer
BA00382,Customer 00382,Active,Consumer
BA00383,Customer 00383,Active,Enterprise
BA00384,Customer 00384,Active,Enterprise
BA00385,Customer 00385,Active,Enterprise
BA00386,Customer 00386,Active,SME
BA00387,Customer 00387,Active,SME
BA00388,Customer 00388,Active,Consumer
BA00389,Customer 00389,Active,Consumer
BA00390,Customer 00390,Active,Enterprise
BA00391,Customer 00391,Active,SME
BA00392,Customer 00392,Active,Consumer
BA00393,Customer 00393,Active,SME
BA00394,Customer 00394,Active,SME
BA00395,Customer 00395,Active,Consumer
BA00396,Customer 00396,Active,SME
BA00397,Customer 00397,Active,Consumer
BA00398,Customer 00398,Active,SME
BA00399,Customer 00399,Active,Enterprise
BA00400,Customer 00400,Active,SME
BA00401,Customer 00401,Active,Consumer
BA00402,Customer 00402,Active,SME
BA00403,Customer 00403,Active,Consumer
BA00404,Customer 00404,Active,Consumer
BA00405,Customer 00405,Active,Enterprise
BA00406,Customer 00406,Active,Enterprise
BA00407,Customer 00407,Active,SME
BA00408,Customer 00408,Inactive,SME
BA00409,Customer 00409,Active,SME
BA00410,Customer 00410,Active,Consumer
BA00411,Customer 00411,Active,SME
BA00412,Customer 00412,Active,Consumer
BA00413,Customer 00413,Active,Enterprise
BA00414,Customer 00414,Active,Consumer
BA00415,Customer 00415,Active,Enterprise
BA00416,Customer 00416,Active,SME
BA00417,Customer 00417,Active,SME
BA00418,Customer 00418,Active,Enterprise
BA00419,Customer 00419,Active,Consumer
BA00420,Customer 00420,Active,Consumer
BA00421,Customer 00421,Active,Enterprise
BA00422,Customer 00422,Inactive,Enterprise
BA00423,Customer 00423,Active,Consumer
BA00424,Customer 00424,Active,Enterprise
BA00425,Customer 00425,Active,Consumer
BA00426,Customer 00426,Active,SME
BA00427,Customer 00427,Active,SME
BA00428,Customer 00428,Active,SME
BA00429,Customer 00429,Inactive,Enterprise
BA00430,Customer 00430,Active,Enterprise
BA00431,Customer 00431,Active,Consumer
BA00432,Customer 00432,Active,Enterprise
BA00433,Customer 00433,Active,Consumer
BA00434,Customer 00434,Active,Consumer
BA00435,Customer 00435,Active,Enterprise
BA00436,Customer 00436,Active,SME
BA00437,Customer 00437,Active,Consumer
BA00438,Customer 00438,Active,SME
BA00439,Customer 00439,Inactive,SME
BA00440,Customer 00440,Active,Enterprise
BA00441,Customer 00441,Active,Consumer
BA00442,Customer 00442,Active,SME
BA00443,Customer 00443,Active,SME
BA00444,Customer 00444,Inactive,SME
BA00445,Customer 00445,Active,Enterprise
BA00446,Customer 00446,Active,Consumer
BA00447,Customer 00447,Active,Consumer
BA00448,Customer 00448,Inactive,Enterprise
BA00449,Customer 00449,Active,Enterprise
BA00450,Customer 00450,Inactive,Enterprise
BA00451,Customer 00451,Active,SME
BA00452,Customer 00452,Active,Enterprise
BA00453,Customer 00453,Active,Enterprise
BA00454,Customer 00454,Active,Enterprise
BA00455,Customer 00455,Active,Consumer
BA00456,Customer 00456,Active,SME
BA00457,Customer 00457,Active,SME
BA00458,Customer 00458,Active,Enterprise
BA00459,Customer 00459,Inactive,Consumer
BA00460,Customer 00460,Active,Consumer
BA00461,Customer 00461,Active,Consumer
BA00462,Customer 00462,Active,SME
BA00463,Customer 00463,Active,Enterprise
BA00464,Customer 00464,Active,Consumer
BA00465,Customer 00465,Active,Enterprise
BA00466,Customer 00466,Active,Enterprise
BA00467,Customer 00467,Active,SME
BA00468,Customer 00468,Inactive,Consumer
BA00469,Customer 00469,Active,Enterprise
BA00470,Customer 00470,Active,Consumer
BA00471,Customer 00471,Active,Enterprise
BA00472,Customer 00472,Active,SME
BA00473,Customer 00473,Active,SME
BA00474,Customer 00474,Active,Consumer
BA00475,Customer 00475,Active,Enterprise
BA00476,Customer 00476,Active,Enterprise
BA00477,Customer 00477,Active,Consumer
BA00478,Customer 00478,Active,Enterprise
BA00479,Customer 00479,Active,SME
BA00480,Customer 00480,Inactive,Consumer
BA00481,Customer 00481,Inactive,Enterprise
BA00482,Customer 00482,Active,Consumer
BA00483,Customer 00483,Active,Consumer
BA00484,Customer 00484,Inactive,Enterprise
BA00485,Customer 00485,Active,Enterprise
BA00486,Customer 00486,Active,Enterprise
BA00487,Customer 00487,Inactive,Consumer
BA00488,Customer 00488,Inactive,Enterprise
BA00489,Customer 00489,Active,Enterprise
BA00490,Customer 00490,Active,SME
BA00491,Customer 00491,Active,SME
BA00492,Customer 00492,Active,Enterprise
BA00493,Customer 00493,Active,SME
BA00494,Customer 00494,Active,Consumer
BA00495,Customer 00495,Inactive,Consumer
BA00496,Customer 00496,Active,SME
BA00497,Customer 00497,Active,SME
BA00498,Customer 00498,Active,Consumer
BA00499,Customer 00499,Active,Enterprise
BA00500,Customer 00500,Active,Enterprise
BA00501,Customer 00501,Active,Enterprise
BA00502,Customer 00502,Active,Consumer
BA00503,Customer 00503,Inactive,Consumer
BA00504,Customer 00504,Active,SME
BA00505,Customer 00505,Active,Enterprise
BA00506,Customer 00506,Active,SME
BA00507,Customer 00507,Active,Consumer
BA00508,Customer 00508,Active,Enterprise
BA00509,Customer 00509,Inactive,SME
BA00510,Customer 00510,Active,SME
BA00511,Customer 00511,Active,SME
BA00512,Customer 00512,Active,SME
BA00513,Customer 00513,Active,Consumer
BA00514,Customer 00514,Inactive,Enterprise
BA00515,Customer 00515,Active,Consumer
BA00516,Customer 00516,Active,Enterprise
BA00517,Customer 00517,Active,Consumer
BA00518,Customer 00518,Inactive,SME
BA00519,Customer 00519,Active,Enterprise
BA00520,Customer 00520,Active,Consumer
BA00521,Customer 00521,Active,SME
BA00522,Customer 00522,Active,Enterprise
BA00523,Customer 00523,Active,Consumer
BA00524,Customer 00524,Active,Consumer
BA00525,Customer 00525,Active,SME
BA00526,Customer 00526,Active,SME
BA00527,Customer 00527,Active,SME
BA00528,Customer 00528,Active,Enterprise
BA00529,Customer 00529,Active,Enterprise
BA00530,Customer 00530,Active,SME
BA00531,Customer 00531,Active,SME
BA00532,Customer 00532,Active,Enterprise
BA00533,Customer 00533,Active,Enterprise
BA00534,Customer 00534,Inactive,Consumer
BA00535,Customer 00535,Active,SME
BA00536,Customer 00536,Active,Consumer
BA00537,Customer 00537,Active,Enterprise
BA00538,Customer 00538,Active,Enterprise
BA00539,Customer 00539,Active,Consumer
BA00540,Customer 00540,Inactive,Consumer
BA00541,Customer 00541,Active,SME
BA00542,Customer 00542,Active,SME
BA00543,Customer 00543,Active,SME
BA00544,Customer 00544,Active,Consumer
BA00545,Customer 00545,Active,Consumer
BA00546,Customer 00546,Active,Enterprise
BA00547,Customer 00547,Active,Enterprise
BA00548,Customer 00548,Active,SME
BA00549,Customer 00549,Active,Enterprise
BA00550,Customer 00550,Active,Consumer
BA00551,Customer 00551,Active,Enterprise
BA00552,Customer 00552,Active,SME
BA00553,Customer 00553,Inactive,Enterprise
BA00554,Customer 00554,Active,Enterprise
BA00555,Customer 00555,Active,Consumer
BA00556,Customer 00556,Active,Enterprise
BA00557,Customer 00557,Active,SME
BA00558,Customer 00558,Active,Consumer
BA00559,Customer 00559,Active,Consumer
BA00560,Customer 00560,Active,SME
BA00561,Customer 00561,Active,SME
BA00562,Customer 00562,Active,SME
BA00563,Customer 00563,Active,SME
BA00564,Customer 00564,Active,Enterprise
BA00565,Customer 00565,Inactive,Enterprise
BA00566,Customer 00566,Active,SME
BA00567,Customer 00567,Active,SME
BA00568,Customer 00568,Active,Consumer
BA00569,Customer 00569,Active,Consumer
BA00570,Customer 00570,Active,Enterprise
BA00571,Customer 00571,Active,Enterprise
BA00572,Customer 00572,Active,SME
BA00573,Customer 00573,Active,SME
BA00574,Customer 00574,Active,SME
BA00575,Customer 00575,Active,Consumer
BA00576,Customer 00576,Active,Consumer
BA00577,Customer 00577,Active,Consumer
BA00578,Customer 00578,Active,Enterprise
BA00579,Customer 00579,Active,SME
BA00580,Customer 00580,Active,Enterprise
BA00581,Customer 00581,Active,SME
BA00582,Customer 00582,Active,Consumer
BA00583,Customer 00583,Active,SME
BA00584,Customer 00584,Active,SME
BA00585,Customer 00585,Active,SME
BA00586,Customer 00586,Active,Consumer
BA00587,Customer 00587,Active,Consumer
BA00588,Customer 00588,Active,SME
BA00589,Customer 00589,Inactive,Consumer
BA00590,Customer 00590,Active,Consumer
BA00591,Customer 00591,Active,Consumer
BA00592,Customer 00592,Active,Consumer
BA00593,Customer 00593,Active,Consumer
BA00594,Customer 00594,Active,SME
BA00595,Customer 00595,Active,Enterprise
BA00596,Customer 00596,Inactive,Enterprise
BA00597,Customer 00597,Inactive,Enterprise
BA00598,Customer 00598,Active,Consumer
BA00599,Customer 00599,Inactive,Consumer
BA00600,Customer 00600,Active,Consumer
BA00601,Customer 00601,Active,Enterprise
BA00602,Customer 00602,Active,Enterprise
BA00603,Customer 00603,Active,Enterprise
BA00604,Customer 00604,Active,Consumer
BA00605,Customer 00605,Active,Enterprise
BA00606,Customer 00606,Active,Enterprise
BA00607,Customer 00607,Active,Consumer
BA00608,Customer 00608,Active,Consumer
BA00609,Customer 00609,Active,SME
BA00610,Customer 00610,Active,Enterprise
BA00611,Customer 00611,Inactive,SME
BA00612,Customer 00612,Active,Consumer
BA00613,Customer 00613,Active,Enterprise
BA00614,Customer 00614,Active,Consumer
BA00615,Customer 00615,Active,Enterprise
BA00616,Customer 00616,Active,SME
BA00617,Customer 00617,Active,SME
BA00618,Customer 00618,Active,Enterprise
BA00619,Customer 00619,Active,Enterprise
BA00620,Customer 00620,Active,SME
BA00621,Customer 00621,Active,Enterprise
BA00622,Customer 00622,Active,Enterprise
BA00623,Customer 00623,Active,Consumer
BA00624,Customer 00624,Active,Consumer
BA00625,Customer 00625,Active,Consumer
BA00626,Customer 00626,Active,SME
BA00627,Customer 00627,Active,SME
BA00628,Customer 00628,Active,SME
BA00629,Customer 00629,Active,Consumer
BA00630,Customer 00630,Active,Consumer
BA00631,Customer 00631,Active,Enterprise
BA00632,Customer 00632,Active,Enterprise
BA00633,Customer 00633,Active,Enterprise
BA00634,Customer 00634,Active,SME
BA00635,Customer 00635,Active,SME
BA00636,Customer 00636,Active,SME
BA00637,Customer 00637,Active,SME
BA00638,Customer 00638,Active,SME
BA00639,Customer 00639,Active,Enterprise
BA00640,Customer 00640,Active,Consumer
BA00641,Customer 00641,Active,Enterprise
BA00642,Customer 00642,Active,Enterprise
BA00643,Customer 00643,Active,SME
BA00644,Customer 00644,Inactive,Consumer
BA00645,Customer 00645,Active,SME
BA00646,Customer 00646,Active,Consumer
BA00647,Customer 00647,Active,Enterprise
BA00648,Customer 00648,Active,SME
BA00649,Customer 00649,Active,Enterprise
BA00650,Customer 00650,Active,Consumer
BA00651,Customer 00651,Active,Consumer
BA00652,Customer 00652,Inactive,Enterprise
BA00653,Customer 00653,Active,SME
BA00654,Customer 00654,Active,SME
BA00655,Customer 00655,Active,SME
BA00656,Customer 00656,Active,SME
BA00657,Customer 00657,Inactive,Enterprise
BA00658,Customer 00658,Active,Consumer
BA00659,Customer 00659,Active,Enterprise
BA00660,Customer 00660,Inactive,Consumer
BA00661,Customer 00661,Active,Consumer
BA00662,Customer 00662,Active,Enterprise
BA00663,Customer 00663,Active,Consumer
BA00664,Customer 00664,Active,Enterprise
BA00665,Customer 00665,Active,Enterprise
BA00666,Customer 00666,Active,SME
BA00667,Customer 00667,Active,SME
BA00668,Customer 00668,Active,SME
BA00669,Customer 00669,Active,Enterprise
BA00670,Customer 00670,Active,SME
BA00671,Customer 00671,Active,Enterprise
BA00672,Customer 00672,Active,Consumer
BA00673,Customer 00673,Active,Consumer
BA00674,Customer 00674,Active,Enterprise
BA00675,Customer 00675,Active,Enterprise
BA00676,Customer 00676,Active,SME
BA00677,Customer 00677,Active,SME
BA00678,Customer 00678,Active,SME
BA00679,Customer 00679,Active,Enterprise
BA00680,Customer 00680,Active,SME
BA00681,Customer 00681,Active,Enterprise
BA00682,Customer 00682,Active,Consumer
BA00683,Customer 00683,Active,SME
BA00684,Customer 00684,Active,Enterprise
BA00685,Customer 00685,Inactive,Enterprise
BA00686,Customer 00686,Active,SME
BA00687,Customer 00687,Active,SME
BA00688,Customer 00688,Active,SME
BA00689,Customer 00689,Active,Consumer
BA00690,Customer 00690,Active,SME
BA00691,Customer 00691,Active,SME
BA00692,Customer 00692,Active,Consumer
BA00693,Customer 00693,Active,Consumer
BA00694,Customer 00694,Active,Enterprise
BA00695,Customer 00695,Active,Consumer
BA00696,Customer 00696,Active,Consumer
BA00697,Customer 00697,Inactive,SME
BA00698,Customer 00698,Active,Consumer
BA00699,Customer 00699,Active,Enterprise
BA00700,Customer 00700,Active,Consumer
BA00701,Customer 00701,Active,Consumer
BA00702,Customer 00702,Active,SME
